GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	1	9	0	0	0	0
Sbene_G00008	0	0	2	0	0	0	2	0
Sbene_G00009	2	0	2	0	1	0	0	3
Sbene_G00010	2	2	0	9	12	15	0	2
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	4	2	1	1
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	1	6	3	0	4	0	6
Sbene_G00029	0	6	2	15	0	9	0	2
Sbene_G00030	0	1	0	2	7	20	0	2
Sbene_G00031	0	2	0	11	1	0	0	0
Sbene_G00032	0	1	0	7	0	5	0	3
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	35	10	6	30	8	11	4	14
Sbene_G00037	0	12	0	10	0	19	0	1
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	10	0	2	2	4	0	0	2
Sbene_G00044	0	1	0	2	0	0	3	0
Sbene_G00045	0	0	0	0	16	2	0	2
Sbene_G00046	2	0	0	1	0	0	3	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	13	0	10	0	29	0	4
Sbene_G00053	0	2	0	1	5	8	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	10	9	2	9	11	15	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	4	0	2	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	8	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	4	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	0	0	0	1	0	4	9
Sbene_G00075	45	50	37	154	101	345	1	1
Sbene_G00078	0	3	2	11	2	2	0	0
Sbene_G00079	0	0	0	2	0	22	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	11	4	36	5	24	9	1	0
Sbene_G00085	7	3	4	0	2	0	0	0
Sbene_G00086	0	0	2	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	0
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	6	0	1	0	1
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	4	0	0	2	6	0	0
Sbene_G00106	2	0	0	0	4	0	0	0
Sbene_G00107	0	1	0	0	0	0	3	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	2	0	0	0	0	0	0
Sbene_G00112	223	172	150	507	426	354	1	337
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	0	0	0	0	0	0	4
Sbene_G00121	0	0	0	0	0	0	0	0
Sbene_G00122	0	0	0	0	0	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	8	0	0	0	0	0	4
Sbene_G00127	0	1	0	0	2	0	0	1
Sbene_G00128	0	27	0	10	24	9	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	3	3	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	30	2	74	9	24	4	5	4
Sbene_G00137	0	2	1	1	0	0	0	0
Sbene_G00138	3	1	12	0	12	0	1	1
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	18	38	44	19	15	24	0	0
Sbene_G00143	1	0	0	0	0	0	5	0
Sbene_G00144	0	0	1	2	0	0	0	1
Sbene_G00145	0	0	5	5	0	12	0	4
Sbene_G00146	34	70	18	40	5	14	10	37
Sbene_G00147	35	21	9	35	11	33	0	2
Sbene_G00148	179	57	133	264	431	545	58	45
Sbene_G00149	182	183	182	134	176	224	47	90
Sbene_G00152	19	16	9	35	40	23	4	40
Sbene_G00153	4	13	45	33	2	8	6	7
Sbene_G00154	14	0	8	2	25	9	0	0
Sbene_G00155	115	170	242	152	100	125	36	176
Sbene_G00157	2	7	0	9	4	4	0	6
Sbene_G00158	0	0	0	0	13	0	3	0
Sbene_G00159	0	5	0	7	1	161	3	1
Sbene_G00161	5	4	7	12	0	0	1	7
Sbene_G00162	4	0	0	0	0	4	2	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	47	4	1	0
Sbene_G00165	0	0	0	0	0	0	0	0
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	21	41	6	91	1	4	13	63
Sbene_G00168	0	0	0	0	201	81	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	1	5	4	1	7	9	3	2
Sbene_G00173	199	723	411	1028	1030	658	1	62
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
