GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	1	1	0	0	0	0
Sbene_G00008	4	0	0	0	3	0	0	1
Sbene_G00009	0	0	0	0	0	0	0	0
Sbene_G00010	16	1	0	0	12	1	0	0
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	1	0	1	0	0	0
Sbene_G00020	0	0	0	0	6	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	0	6	3	0	2	0	3
Sbene_G00029	0	16	26	75	3	13	0	27
Sbene_G00030	0	0	0	6	16	16	0	10
Sbene_G00031	0	0	0	0	0	0	0	0
Sbene_G00032	0	6	0	9	0	5	0	14
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	0	6	0	8	0	0	0	0
Sbene_G00037	7	7	0	14	1	20	0	3
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	0	0	15	3	3	0	8	1
Sbene_G00044	0	0	0	0	5	0	1	0
Sbene_G00045	0	0	0	0	8	0	2	0
Sbene_G00046	2	0	0	0	0	0	4	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	2	0	2	0	20	0	0
Sbene_G00053	0	0	4	0	0	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	1	41	0	0	28	26	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	0	0	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	0	4	7	0	0	0	7
Sbene_G00075	9	15	11	66	62	120	0	25
Sbene_G00078	0	4	0	0	0	0	0	0
Sbene_G00079	0	2	0	2	0	48	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	8	40	40	0	64	8	0	0
Sbene_G00085	20	4	2	6	0	1	0	13
Sbene_G00086	0	0	22	0	4	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	0
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	2	0	9	0	10	0	7
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	5	0	0	3	8	0	0
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	10	0	0	0	0	0	0
Sbene_G00112	602	434	28	501	629	818	64	458
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	2	0	10	0	0	0	0
Sbene_G00121	0	0	0	0	5	0	5	0
Sbene_G00122	0	0	0	0	6	2	4	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	10	1	0	0	0	1
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	44	0	29	35	38	0	18
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	0	2	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	0	2	2	0	0	0	0	0
Sbene_G00137	0	0	2	0	2	0	0	0
Sbene_G00138	0	6	0	0	0	1	0	3
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	79	95	40	9	28	49	0	0
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	0	0	0	0	0	0	0	0
Sbene_G00145	0	25	0	25	0	34	0	30
Sbene_G00146	3	16	8	24	3	0	0	14
Sbene_G00147	14	86	40	28	23	44	0	5
Sbene_G00148	154	85	69	118	314	226	0	64
Sbene_G00149	103	220	117	275	152	230	64	103
Sbene_G00152	0	6	0	4	0	4	0	2
Sbene_G00153	0	11	10	2	0	8	0	5
Sbene_G00154	12	0	1	1	15	11	0	0
Sbene_G00155	92	162	122	136	63	74	8	85
Sbene_G00157	0	14	0	25	0	2	0	5
Sbene_G00158	0	0	0	0	0	0	0	0
Sbene_G00159	0	10	0	48	0	360	0	0
Sbene_G00161	0	0	0	10	0	0	0	0
Sbene_G00162	0	10	1	8	10	2	5	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	11	0	0	1
Sbene_G00165	0	0	0	0	0	0	0	8
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	44	88	0	9	0	7	20	50
Sbene_G00168	0	0	0	0	286	88	0	2
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	8	14	31	0	43	0	1	17
Sbene_G00173	810	1063	216	1214	1573	748	222	110
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
