GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	2	0	2	0	0	0	0	0
Sbene_G00007	4	0	480	166	179	192	50	71
Sbene_G00008	0	0	5	1	0	0	1	7
Sbene_G00009	13	14	2	18	4	13	6	108
Sbene_G00010	75	99	36	68	297	133	25	65
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	1	0	4	0	6	0	3
Sbene_G00020	0	0	0	0	14	1	0	1
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	9	10	6	0	11	0	4
Sbene_G00029	0	3	1	11	0	4	0	1
Sbene_G00030	0	0	0	0	6	10	0	0
Sbene_G00031	26	20	10	43	8	16	1	18
Sbene_G00032	0	2	0	2	0	2	0	4
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	249	41	21	155	52	26	76	64
Sbene_G00037	1	2	0	2	0	3	0	2
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	1	22	0	9	0	5	0	5
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	13	2	1	0	11	1	1	3
Sbene_G00044	0	4	1	3	18	1	4	1
Sbene_G00045	0	0	0	0	42	5	12	5
Sbene_G00046	4	0	4	0	0	0	8	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	2	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	82	0	123	0	166	0	67
Sbene_G00053	0	5	0	0	2	5	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	11	9	7	1	22	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	4	0
Sbene_G00063	1	1	0	0	8	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	2	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	1	3	17	1	0	0	4	0
Sbene_G00069	1	0	6	1	0	0	0	2
Sbene_G00070	1	6	4	0	0	0	3	0
Sbene_G00073	77	3	2	27	8	11	9	31
Sbene_G00075	247	314	161	485	404	1526	15	138
Sbene_G00078	6	8	2	13	0	1	0	18
Sbene_G00079	0	2	0	1	4	50	0	1
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	2	1	0	1	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	2	0
Sbene_G00083	528	1040	537	211	982	672	3	103
Sbene_G00085	1239	482	753	14	219	63	17	5
Sbene_G00086	2	0	4	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	3	13	6	1	0	0	0	7
Sbene_G00092	1	4	2	3	7	9	3	1
Sbene_G00093	0	0	0	0	0	0	2	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	2	2	0	0	0	0	2
Sbene_G00101	0	0	0	0	0	0	2	0
Sbene_G00104	2	22	0	25	58	76	2	3
Sbene_G00106	5	1	0	1	10	2	3	0
Sbene_G00107	1	0	0	0	1	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	13	2	1	0
Sbene_G00111	0	0	0	2	1	9	0	0
Sbene_G00112	129	101	13	201	134	155	5	112
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	14	40	27	117	0	6	8	112
Sbene_G00121	0	2	12	0	30	2	22	0
Sbene_G00122	0	0	0	0	12	3	1	0
Sbene_G00123	0	0	0	0	0	0	2	0
Sbene_G00124	0	0	0	0	0	0	2	0
Sbene_G00125	0	0	0	0	0	0	54	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	1	0	0	1	0	0	0
Sbene_G00128	0	6	0	0	8	0	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	10	7	3	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	240	113	105	29	67	38	0	8
Sbene_G00137	0	0	0	1	0	0	0	1
Sbene_G00138	84	40	62	5	121	26	29	25
Sbene_G00139	0	0	0	0	0	11	0	1
Sbene_G00140	0	0	0	0	0	0	0	2
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	62	55	0	0	33	39	0	1
Sbene_G00143	0	0	0	0	0	0	3	7
