GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	2	0	0	0	0	0
Sbene_G00007	14	2	284	277	95	127	7	30
Sbene_G00008	0	0	4	0	0	0	0	2
Sbene_G00009	0	5	6	14	5	2	17	93
Sbene_G00010	20	45	10	14	89	55	4	19
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	0	2	0	0	0	0	2
Sbene_G00029	0	5	2	4	0	1	0	0
Sbene_G00030	0	0	0	0	0	6	0	0
Sbene_G00031	0	6	6	26	1	4	0	3
Sbene_G00032	0	0	0	0	0	1	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	18	11	0	51	0	19	0	15
Sbene_G00037	0	0	0	0	2	1	0	1
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	28	0	0	0	2	0	4
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	3	0	1	2	6	0	0	0
Sbene_G00044	1	0	1	1	2	0	2	1
Sbene_G00045	0	0	0	0	6	0	0	0
Sbene_G00046	4	0	2	0	0	0	2	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	4	0
Sbene_G00052	0	55	0	54	0	77	0	26
Sbene_G00053	1	0	0	1	0	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	0	0	1	2	3	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	1	0	0	1	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	4	0	0	1	0	1	1	3
Sbene_G00069	0	0	4	0	0	0	0	0
Sbene_G00070	3	1	15	0	1	0	0	0
Sbene_G00073	3	2	7	83	9	7	25	90
Sbene_G00075	28	22	17	119	123	179	0	16
Sbene_G00078	0	8	0	0	0	0	0	12
Sbene_G00079	0	0	0	0	1	19	0	0
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	0	2	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	45	111	67	48	105	98	5	11
Sbene_G00085	255	160	108	47	51	27	4	56
Sbene_G00086	0	0	0	2	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	3	1	7	0	0	2	9
Sbene_G00092	0	4	3	3	2	15	0	5
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	2	0
Sbene_G00098	0	0	0	4	0	2	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	4	0	2	8	20	2	0
Sbene_G00106	1	2	0	0	4	1	0	0
Sbene_G00107	0	1	0	0	0	0	0	5
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	2	3	2	1
Sbene_G00111	0	1	0	0	0	1	0	0
Sbene_G00112	5	23	8	69	22	51	2	40
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	5	31	1	34	0	3	7	35
Sbene_G00121	1	0	0	0	5	0	2	0
Sbene_G00122	0	0	0	0	0	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	16	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	0	0	0	0	2	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	1	3	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	93	13	0	0	18	1	3	8
Sbene_G00137	0	3	0	2	0	1	0	0
Sbene_G00138	34	14	12	3	41	8	2	8
Sbene_G00139	0	0	0	0	0	6	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	15	8	9	2	7	7	0	0
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	7	17	13	5	4	1	21	4
Sbene_G00145	0	0	2	2	0	2	0	2
Sbene_G00146	14	25	83	42	14	28	15	31
Sbene_G00147	0	6	4	17	5	16	0	0
Sbene_G00148	142	126	120	305	684	480	70	77
Sbene_G00149	111	85	243	424	261	201	74	137
Sbene_G00152	0	10	0	24	21	16	3	22
Sbene_G00153	1	1	50	15	1	4	7	19
Sbene_G00154	11	0	1	2	10	4	0	0
Sbene_G00155	39	85	508	255	153	187	79	262
Sbene_G00157	0	8	0	6	1	4	0	1
Sbene_G00158	0	0	0	0	255	86	4	5
Sbene_G00159	0	2	0	4	1	54	0	1
Sbene_G00161	0	6	2	11	0	1	0	8
Sbene_G00162	0	0	0	0	0	0	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	33	18	0	1
Sbene_G00165	2	0	0	54	0	0	0	14
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	12	6	21	36	1	0	9	19
Sbene_G00168	0	0	0	0	11	11	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	1	0	0	0	3	1	1	0
Sbene_G00173	948	5200	3327	4954	8370	6699	446	2160
Sbene_G00174	1	0	0	0	1	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
Sbene_G00183	0	0	0	2	2	0	0	2
Sbene_G00184	0	0	3	2	3	3	5	6
Sbene_G00185	0	4	0	1	0	2	0	5
Sbene_G00192	0	0	6	4	0	0	0	0
Sbene_G00194	0	0	1	3	0	2	0	0
Sbene_G00195	74	38	108	8	302	55	0	1
Sbene_G00196	21	8	44	3	62	20	3	7
Sbene_G00197	0	0	1	0	0	1	0	0
Sbene_G00199	0	0	0	0	0	0	0	0
Sbene_G00200	0	0	0	0	0	0	0	0
Sbene_G00201	1	2	0	0	1	3	0	1
Sbene_G00202	162	453	136	597	361	1062	152	283
Sbene_G00203	0	0	0	0	0	0	0	0
Sbene_G00204	0	0	0	0	0	0	0	0
Sbene_G00205	0	0	0	0	0	0	0	0
Sbene_G00206	0	0	0	0	0	0	0	0
Sbene_G00207	0	0	0	0	0	2	0	0
Sbene_G00209	0	2	1	0	331	21	28	1
Sbene_G00210	0	0	0	0	0	0	0	0
Sbene_G00211	0	4	78	15	11	5	5	16
Sbene_G00212	0	0	0	0	0	0	0	0
Sbene_G00213	0	0	0	0	0	0	2	0
Sbene_G00215	0	0	0	0	0	0	0	0
Sbene_G00216	0	0	2	0	0	0	0	0
Sbene_G00217	0	1	0	2	2	1	0	0
Sbene_G00218	0	0	0	0	0	0	0	0
Sbene_G00220	0	0	0	0	0	0	0	0
Sbene_G00221	0	0	0	0	0	0	0	0
