GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	2	0	0	0	0	0	0	0
Sbene_G00007	0	9	306	188	53	245	71	206
Sbene_G00008	0	0	1	0	0	0	7	4
Sbene_G00009	3	12	2	8	3	1	0	61
Sbene_G00010	45	70	8	2	58	105	7	11
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	2	0	0
Sbene_G00020	0	0	0	0	2	2	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	0	2	3	0	3	0	0
Sbene_G00029	0	0	1	4	2	1	0	0
Sbene_G00030	0	0	0	0	4	5	1	0
Sbene_G00031	0	3	3	7	1	2	0	4
Sbene_G00032	0	2	0	2	0	4	0	2
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	48	10	2	14	6	4	7	7
Sbene_G00037	0	0	0	0	0	0	0	2
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	15	0	7	0	0	0	6
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	6	0	15	2	13	1	1	0
Sbene_G00044	0	0	0	0	2	1	1	0
Sbene_G00045	0	0	0	0	22	0	3	1
Sbene_G00046	0	0	0	0	0	0	6	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	14	0	15	0	27	0	10
Sbene_G00053	0	0	0	0	0	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	1	0	2	4	5	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	2	0	0	0	2	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	1	1	4	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	4	0	2	37	1	3	22	47
Sbene_G00075	28	24	24	84	166	313	0	9
Sbene_G00078	0	0	2	2	0	2	0	2
Sbene_G00079	0	0	0	0	0	14	0	0
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	53	177	109	46	118	171	7	31
Sbene_G00085	218	217	305	71	47	64	2	94
Sbene_G00086	0	2	0	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	1	7	0	3	0	0	1	16
Sbene_G00092	0	0	2	2	4	3	0	1
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	0	0	0	0	2
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	5	0	5	21	16	0	1
Sbene_G00106	0	0	0	2	0	1	0	1
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	2	0	0	2	0	2	0	0
Sbene_G00112	5	13	5	84	14	69	6	44
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	29	66	13	53	1	1	19	88
Sbene_G00121	0	0	4	0	4	0	2	0
Sbene_G00122	0	0	0	0	6	4	2	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	36	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	0	0	0	0	0	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	2	2	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	78	29	2	6	27	5	0	11
Sbene_G00137	0	4	0	0	0	0	0	0
Sbene_G00138	15	4	23	3	27	6	0	8
Sbene_G00139	0	0	0	0	0	4	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	5	8	4	1	7	9	0	0
Sbene_G00143	0	0	2	0	0	0	0	2
Sbene_G00144	13	22	18	13	4	3	23	14
Sbene_G00145	0	1	0	2	0	1	0	0
Sbene_G00146	9	27	40	37	6	12	11	34
Sbene_G00147	3	7	5	31	2	11	0	1
Sbene_G00148	78	98	80	258	279	591	29	17
Sbene_G00149	43	52	98	179	161	90	48	77
Sbene_G00152	7	19	1	25	25	20	3	32
Sbene_G00153	8	8	37	34	2	11	8	52
Sbene_G00154	11	0	0	2	10	9	0	0
Sbene_G00155	65	81	259	168	120	153	86	302
Sbene_G00157	0	2	1	12	0	9	0	2
Sbene_G00158	0	0	0	0	384	96	8	2
Sbene_G00159	0	0	0	0	0	30	0	0
Sbene_G00161	3	30	17	29	0	1	0	6
Sbene_G00162	0	0	0	0	0	0	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	24	13	1	2
Sbene_G00165	0	0	1	1	0	0	10	8
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	13	14	10	35	0	2	3	17
Sbene_G00168	0	0	0	0	39	7	0	0
Sbene_G00169	0	0	0	0	0	0	4	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	0	1	0	0	1	0	2
Sbene_G00173	1343	6385	2205	5910	8535	7983	999	1898
Sbene_G00174	2	0	0	1	1	1	0	1
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
Sbene_G00183	1	0	1	0	2	4	0	0
Sbene_G00184	0	0	5	5	0	1	2	7
Sbene_G00185	0	9	0	5	0	19	0	15
Sbene_G00192	0	0	0	0	0	0	0	0
Sbene_G00194	0	0	0	0	0	0	0	0
Sbene_G00195	85	37	124	16	384	71	0	1
Sbene_G00196	43	27	47	2	80	18	5	2
Sbene_G00197	2	0	0	0	4	0	2	0
Sbene_G00199	0	0	0	0	0	0	0	0
Sbene_G00200	0	0	0	0	0	0	0	0
Sbene_G00201	0	0	2	0	8	2	0	2
Sbene_G00202	492	901	244	1282	998	2267	421	1043
Sbene_G00203	0	0	0	0	0	2	0	0
Sbene_G00204	0	4	0	0	0	2	0	0
Sbene_G00205	0	0	0	0	0	0	0	0
Sbene_G00206	0	0	0	0	0	0	2	0
Sbene_G00207	0	0	0	0	0	0	0	0
Sbene_G00209	1	1	2	2	315	32	19	4
Sbene_G00210	0	0	0	2	0	0	0	2
Sbene_G00211	5	5	30	26	10	5	19	14
Sbene_G00212	0	0	0	0	0	0	0	0
Sbene_G00213	0	0	0	0	0	0	2	0
Sbene_G00215	0	0	0	0	0	0	0	0
Sbene_G00216	0	0	0	0	0	0	2	0
Sbene_G00217	0	0	2	0	0	0	0	0
Sbene_G00218	0	0	0	0	0	0	0	0
Sbene_G00220	0	0	0	0	0	0	0	0
Sbene_G00221	0	0	0	0	0	0	0	0
Sbene_G00222	0	0	0	1	0	1	0	0
Sbene_G00223	49	306	217	197	38	193	237	343
Sbene_G00224	27	20	55	18	17	69	0	0
Sbene_G00225	7	1	17	85	45	55	12	32
Sbene_G00226	0	12	12	18	7	35	3	1
Sbene_G00227	1	1	0	8	17	21	0	0
Sbene_G00228	43	37	8	3	24	45	16	24
Sbene_G00229	5	4	17	4	58	14	0	0
Sbene_G00230	0	0	0	8	0	8	0	4
Sbene_G00231	0	0	0	0	0	0	0	0
Sbene_G00232	9	4	0	3	7	3	0	0
Sbene_G00233	0	0	0	0	0	0	0	0
Sbene_G00234	0	1	0	0	0	1	0	0
Sbene_G00235	0	4	0	10	15	65	0	2
Sbene_G00236	0	0	0	0	0	0	0	0
Sbene_G00237	0	0	0	0	0	0	0	0
Sbene_G00238	0	0	0	0	10	2	0	0
Sbene_G00239	0	0	0	2	6	2	0	0
Sbene_G00240	0	0	0	0	0	0	0	0
Sbene_G00241	0	0	0	0	0	0	0	0
Sbene_G00242	0	0	0	0	0	0	0	0
Sbene_G00243	0	0	0	0	2	0	0	0
Sbene_G00244	0	0	0	0	0	0	0	0
Sbene_G00250	0	0	0	0	0	0	0	0
Sbene_G00251	0	0	0	0	0	0	0	0
Sbene_G00252	0	0	0	0	0	0	0	0
Sbene_G00253	2	0	0	0	0	0	0	0
Sbene_G00254	0	0	0	0	0	0	0	0
Sbene_G00255	0	0	0	0	0	0	0	0
Sbene_G00257	0	0	0	0	0	0	0	0
Sbene_G00258	0	0	0	0	0	0	0	0
Sbene_G00259	0	0	0	0	0	0	0	0
Sbene_G00260	1	14	18	41	6	26	1	27
Sbene_G00261	10	7	5	24	76	55	4	5
Sbene_G00262	0	0	0	0	0	0	0	0
Sbene_G00263	0	0	0	0	0	0	0	0
Sbene_G00264	0	2	0	0	0	0	0	0
Sbene_G00265	5	10	36	3	39	11	2	0
Sbene_G00269	0	0	0	0	1	1	4	0
Sbene_G00270	0	0	0	0	0	0	0	0
