GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	49	18	212	124	58	111	1	45
Sbene_G00008	0	0	2	2	0	0	0	0
Sbene_G00009	0	0	0	19	0	0	8	5
Sbene_G00010	6	4	8	8	49	16	3	8
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	12	1	0	1
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	2	28	23	10	0	16	0	13
Sbene_G00029	0	47	1	31	0	48	0	3
Sbene_G00030	0	3	0	1	22	52	0	20
Sbene_G00031	6	0	0	5	0	8	0	1
Sbene_G00032	0	6	0	16	0	11	0	3
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	25	12	11	10	1	0	11	16
Sbene_G00037	0	19	0	16	0	21	0	6
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	2
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	10	20	78	10	57	11	5	7
Sbene_G00044	0	0	0	7	14	12	7	0
Sbene_G00045	0	0	0	0	17	2	11	2
Sbene_G00046	4	0	0	0	0	0	12	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	23	0	33	0	70	0	26
Sbene_G00053	1	18	6	7	13	10	1	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	13	34	0	46	46	77	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	9	1	0	0	26	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	2	0	1	0	0	0	1	0
Sbene_G00073	1	0	9	22	1	4	13	18
Sbene_G00075	76	61	54	253	190	581	2	49
Sbene_G00078	0	4	0	7	0	1	0	14
Sbene_G00079	0	2	1	6	0	30	0	1
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	26	49	85	45	99	46	4	10
Sbene_G00085	68	91	56	19	9	18	0	17
Sbene_G00086	0	1	9	2	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	3	3	0	0	0	4
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	1	0	0	0	0	0	3
Sbene_G00101	0	0	0	0	0	0	6	0
Sbene_G00104	0	11	0	4	11	14	0	0
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	2	0	0	0
Sbene_G00111	0	1	0	1	0	4	0	0
Sbene_G00112	380	275	92	794	409	401	45	286
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	8	9	42	0	1	12	22
Sbene_G00121	0	0	0	0	2	0	0	0
Sbene_G00122	0	0	0	0	10	2	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	2	0
Sbene_G00126	0	0	0	1	0	0	0	5
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	27	0	23	29	8	0	15
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	3	3	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	21	46	127	18	44	6	6	0
Sbene_G00137	0	0	1	2	0	3	0	0
Sbene_G00138	4	16	2	0	28	5	0	19
Sbene_G00139	0	0	0	3	3	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	27	73	100	29	77	34	1	3
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	1	0	2	4	0	0	1	0
Sbene_G00145	0	23	0	27	0	29	0	33
Sbene_G00146	48	73	110	58	19	26	13	47
Sbene_G00147	72	87	1	139	41	98	8	8
Sbene_G00148	488	114	224	547	1424	615	75	153
Sbene_G00149	227	321	209	452	230	367	79	145
Sbene_G00152	19	77	7	145	41	131	20	62
Sbene_G00153	8	54	3	29	7	16	25	52
Sbene_G00154	74	6	6	13	130	40	0	3
Sbene_G00155	336	422	474	326	195	361	101	503
Sbene_G00157	0	18	0	24	13	6	0	1
Sbene_G00158	0	0	0	0	81	13	4	0
Sbene_G00159	0	16	0	19	0	280	0	1
Sbene_G00161	8	22	5	14	0	0	0	37
Sbene_G00162	0	0	0	0	3	11	0	0
Sbene_G00163	0	6	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	75	6	0	1
Sbene_G00165	1	0	16	2	1	0	2	18
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	104	173	5	104	7	4	5	30
Sbene_G00168	0	0	0	0	154	80	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	7	14	25	4	16	8	12
Sbene_G00173	1617	4597	1420	4540	6554	4253	244	1031
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
