GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	46	8	92	61	38	45	5	29
Sbene_G00008	0	0	0	0	0	0	0	4
Sbene_G00009	0	0	0	0	1	0	1	4
Sbene_G00010	4	18	1	1	8	17	4	5
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	5	1	17	0	18	0	15
Sbene_G00029	0	87	35	163	4	102	1	34
Sbene_G00030	0	5	0	9	16	73	4	25
Sbene_G00031	0	2	5	12	0	2	0	1
Sbene_G00032	0	12	0	26	0	8	0	14
Sbene_G00033	2	7	1	7	7	22	0	4
Sbene_G00036	4	0	0	18	2	0	1	3
Sbene_G00037	1	14	0	27	6	41	0	15
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	2	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	15	0	22	1	14	7	3	4
Sbene_G00044	2	0	0	0	11	0	3	0
Sbene_G00045	0	0	0	0	18	0	4	0
Sbene_G00046	3	0	1	0	0	0	4	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	9	0	22	0	28	0	7
Sbene_G00053	1	5	3	1	2	16	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	2	13	1	7	6	25	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	4	0	4	4	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	2	0	0
Sbene_G00068	0	6	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	1	0	0	0	0	0	1	0
Sbene_G00073	2	0	5	13	2	0	9	13
Sbene_G00075	52	60	82	286	145	586	0	67
Sbene_G00078	0	6	0	0	0	2	0	0
Sbene_G00079	0	5	3	5	2	16	0	3
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	17	32	37	16	47	35	2	10
Sbene_G00085	8	3	31	0	10	0	1	1
Sbene_G00086	0	0	5	18	3	4	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	2	0	0	0	0
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	10	0	0	0	0	2	2
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	2	0	0	0	6	0	0
Sbene_G00106	6	0	0	0	6	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	2	0	0	0
Sbene_G00111	0	4	0	1	0	1	0	0
Sbene_G00112	94	148	26	840	133	544	38	407
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	3	2	14	0	0	18	1
Sbene_G00121	0	0	6	0	14	0	18	0
Sbene_G00122	0	0	0	0	2	0	4	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	4	0
Sbene_G00126	0	1	0	2	0	0	0	1
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	3	0	22	6	16	0	1
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	4	9	1	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	95	35	8	10	31	9	0	6
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	47	24	59	17	95	14	7	9
Sbene_G00139	0	1	0	0	0	3	0	0
Sbene_G00140	0	0	0	6	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	21	19	27	4	14	17	0	0
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	8	4	4	3	0	2	0	1
Sbene_G00145	0	18	0	26	0	42	0	16
Sbene_G00146	5	7	24	11	7	11	4	11
Sbene_G00147	1	3	3	61	5	11	0	2
Sbene_G00148	62	21	123	469	372	602	34	23
Sbene_G00149	36	66	90	150	57	78	13	46
Sbene_G00152	9	1	2	4	15	16	1	12
Sbene_G00153	2	0	25	36	6	4	2	31
Sbene_G00154	17	16	35	7	35	68	0	0
Sbene_G00155	55	49	294	140	57	107	52	172
Sbene_G00157	0	6	3	19	1	10	0	3
Sbene_G00158	0	0	0	0	41	13	0	0
Sbene_G00159	0	2	0	4	0	64	0	4
Sbene_G00161	0	15	17	17	0	0	0	5
Sbene_G00162	0	0	0	0	2	2	2	4
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	18	3	0	1
Sbene_G00165	2	0	8	4	0	0	3	7
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	13	5	13	22	1	3	5	20
Sbene_G00168	0	0	0	0	213	79	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	6	8	47	36	19	78	14	8
Sbene_G00173	944	4503	2321	4232	6418	5277	611	1032
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	2	2	4	22	0	8	0	0
