GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	4	0	0	0	0	0	4	0
Sbene_G00007	35	1	50	30	48	18	0	18
Sbene_G00008	0	3	0	0	0	0	0	9
Sbene_G00009	0	1	0	2	0	0	6	51
Sbene_G00010	30	34	5	25	106	72	7	11
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	4
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	9	4	1	0	15	1	8
Sbene_G00029	0	4	4	3	0	6	0	1
Sbene_G00030	0	2	0	2	2	22	0	16
Sbene_G00031	18	32	11	67	8	24	15	25
Sbene_G00032	0	0	0	4	0	0	0	2
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	51	16	17	92	5	26	9	52
Sbene_G00037	0	0	0	9	3	5	0	3
Sbene_G00038	0	0	0	0	0	0	2	0
Sbene_G00040	0	3	0	7	0	3	0	1
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	4	8	53	3	111	0	5	8
Sbene_G00044	0	0	0	0	12	11	13	0
Sbene_G00045	0	0	0	0	50	1	15	0
Sbene_G00046	3	0	1	0	0	0	4	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	53	0	31	0	53	0	13
Sbene_G00053	0	2	3	0	4	13	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	7	14	0	15	10	18	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	6	0	0	4	19	0	3	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	10	0	0
Sbene_G00068	0	2	0	0	0	0	2	0
Sbene_G00069	0	0	4	0	0	0	0	0
Sbene_G00070	3	0	0	0	0	0	1	0
Sbene_G00073	2	3	5	15	2	11	22	36
Sbene_G00075	40	108	65	397	261	799	9	41
Sbene_G00078	3	24	0	13	0	1	0	13
Sbene_G00079	0	0	0	0	0	36	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	47	220	90	38	140	152	5	12
Sbene_G00085	301	198	51	70	47	48	0	45
Sbene_G00086	0	0	2	2	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	6
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	3	0	0	0	0	0	0	3
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	1	19	3	26	43	82	4	12
Sbene_G00106	1	0	0	0	7	0	0	0
Sbene_G00107	2	0	0	5	0	0	0	3
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	0	0	3	0	9	0	0
Sbene_G00112	23	59	59	265	107	192	1	144
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	9	1	6	0	0	7	41
Sbene_G00121	0	0	0	0	8	4	14	8
Sbene_G00122	0	0	0	0	16	6	5	3
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	1	0	0	1	0	0	0
Sbene_G00128	0	2	0	16	2	6	0	2
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	5	11	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	78	4	181	6	38	0	2	7
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	8	17	16	2	46	4	2	5
Sbene_G00139	0	0	0	0	4	6	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	3	9	10	3	15	8	0	0
Sbene_G00143	0	0	0	0	0	0	15	1
Sbene_G00144	9	4	3	6	1	2	12	5
Sbene_G00145	0	1	0	19	0	7	0	7
Sbene_G00146	73	82	148	123	23	40	36	131
Sbene_G00147	8	17	8	26	19	18	0	4
Sbene_G00148	196	88	225	640	1079	826	113	115
Sbene_G00149	217	232	267	650	305	329	117	149
Sbene_G00152	10	55	12	98	54	135	4	102
Sbene_G00153	18	75	63	56	4	25	77	104
Sbene_G00154	46	10	8	18	84	24	0	0
Sbene_G00155	186	365	676	585	247	510	213	1066
Sbene_G00157	0	0	0	44	6	23	0	5
Sbene_G00158	0	0	0	0	306	89	5	8
Sbene_G00159	0	12	5	7	0	125	0	5
Sbene_G00161	1	30	7	2	0	0	2	6
Sbene_G00162	0	0	0	8	9	8	0	1
Sbene_G00163	0	2	0	0	0	0	0	0
Sbene_G00164	0	0	1	2	147	47	3	4
Sbene_G00165	4	0	2	31	0	0	3	12
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	43	63	39	180	0	8	22	89
Sbene_G00168	0	0	0	0	78	58	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	6	0	0	0
Sbene_G00171	2	5	2	14	9	26	3	5
Sbene_G00173	1146	8684	2530	4822	10283	6643	264	2626
Sbene_G00174	0	0	0	10	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
Sbene_G00183	1	1	0	0	0	0	0	0
Sbene_G00184	0	0	3	0	0	3	0	0
Sbene_G00185	0	14	0	30	0	35	0	47
Sbene_G00192	0	0	0	0	0	0	0	0
Sbene_G00194	0	0	0	2	0	2	0	0
Sbene_G00195	108	70	72	11	316	119	0	0
Sbene_G00196	177	104	75	10	226	94	5	15
Sbene_G00197	5	0	1	0	9	0	9	0
Sbene_G00199	0	0	0	0	0	0	0	0
Sbene_G00200	0	0	0	0	0	0	2	0
Sbene_G00201	0	0	0	0	0	8	0	0
Sbene_G00202	166	301	149	538	315	692	136	277
Sbene_G00203	0	0	0	0	3	1	0	0
Sbene_G00204	0	0	0	0	0	0	0	0
Sbene_G00205	0	0	0	0	0	0	0	0
Sbene_G00206	0	0	0	0	0	0	0	0
Sbene_G00207	0	0	0	0	0	0	0	0
Sbene_G00209	14	5	2	2	1394	100	148	1
Sbene_G00210	0	0	0	24	5	45	1	3
Sbene_G00211	2	6	6	40	11	2	4	31
Sbene_G00212	0	0	0	0	0	2	0	0
Sbene_G00213	0	0	0	0	0	0	0	0
Sbene_G00215	0	0	0	23	0	5	0	0
Sbene_G00216	1	0	0	1	1	0	3	2
Sbene_G00217	2	0	8	0	10	17	7	0
