GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	0	0	0	0	0	0
Sbene_G00008	0	0	0	0	0	0	0	0
Sbene_G00009	0	0	0	0	0	0	0	0
Sbene_G00010	22	9	3	0	27	6	0	3
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	4	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	8	0	1	0	12	0	5
Sbene_G00029	0	21	1	12	0	12	0	2
Sbene_G00030	0	1	0	2	0	19	0	10
Sbene_G00031	1	0	0	2	1	0	0	0
Sbene_G00032	0	9	0	8	0	8	0	5
Sbene_G00033	0	2	2	2	4	3	0	3
Sbene_G00036	0	0	0	1	0	0	0	1
Sbene_G00037	0	2	0	6	0	8	0	2
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	2	0	0
Sbene_G00043	4	0	0	0	0	0	0	0
Sbene_G00044	0	0	0	0	7	2	1	0
Sbene_G00045	0	0	0	0	8	0	10	0
Sbene_G00046	2	0	0	0	0	0	6	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	5	0	5	0	9	0	5
Sbene_G00053	1	13	22	9	15	39	0	7
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	1	1	1	0	4	1	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	1	0	0	0	11	2	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	2	0	0
Sbene_G00068	0	0	0	0	0	0	0	4
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	2	0	2	0	1	5	6
Sbene_G00075	2	167	188	409	185	869	0	44
Sbene_G00078	0	0	0	0	0	0	0	2
Sbene_G00079	2	3	0	9	0	10	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	3	0	0	0	0	0	1	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	0	3	0	1	0	10	0	4
Sbene_G00085	19	15	0	10	0	2	1	7
Sbene_G00086	0	6	11	5	0	6	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	4
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	2	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	14	4	6	0	2	4	4
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	4	0	0	10	10	0	0
Sbene_G00106	0	0	0	0	1	1	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	2	0	0	0
Sbene_G00111	0	0	0	0	0	0	0	0
Sbene_G00112	44	100	112	1069	176	254	3	352
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	1	1	0	0	0	0	2	2
Sbene_G00121	0	0	2	0	0	0	0	0
Sbene_G00122	0	0	0	0	2	1	3	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	6	0	0	0	0	0	2
Sbene_G00127	8	0	0	0	5	0	11	0
Sbene_G00128	0	21	0	17	3	27	0	10
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	2	2	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	4	73	67	19	12	15	1	7
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	60	30	16	2	78	31	12	29
Sbene_G00139	0	0	0	1	3	2	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	1	3	0	0	1	1	0	0
Sbene_G00143	0	0	0	1	0	0	1	0
Sbene_G00144	0	1	2	0	0	0	1	0
Sbene_G00145	0	10	0	8	0	16	0	8
Sbene_G00146	8	43	2	0	1	2	0	18
Sbene_G00147	5	25	3	31	33	38	2	5
Sbene_G00148	94	16	123	463	381	674	17	66
Sbene_G00149	22	70	45	42	47	70	13	21
Sbene_G00152	0	4	0	9	0	5	0	6
Sbene_G00153	1	34	9	7	0	12	21	30
Sbene_G00154	102	26	6	12	77	101	0	2
Sbene_G00155	87	261	100	70	40	180	76	238
Sbene_G00157	0	1	0	17	4	14	0	0
Sbene_G00158	0	0	0	0	7	4	1	0
Sbene_G00159	0	5	0	7	0	126	0	0
Sbene_G00161	9	22	1	5	0	0	7	22
Sbene_G00162	0	2	0	4	2	11	0	3
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	2	0	0	0	44	11	4	1
Sbene_G00165	0	0	0	0	0	0	0	0
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	22	28	1	2	0	2	11	18
Sbene_G00168	0	0	0	0	17	23	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	2	0
Sbene_G00171	9	47	16	39	40	71	36	44
Sbene_G00173	857	2748	1297	5556	8989	1162	283	954
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	2	0
Sbene_G00178	12	12	18	2	12	1	0	1
