GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	121	11	334	224	128	196	46	40
Sbene_G00008	0	0	1	0	0	0	2	7
Sbene_G00009	0	0	3	15	0	0	1	27
Sbene_G00010	40	28	10	24	89	67	2	22
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	25	7	0	4
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	21	25	12	0	19	1	16
Sbene_G00029	0	65	27	145	3	46	0	40
Sbene_G00030	0	1	0	10	38	61	0	46
Sbene_G00031	7	13	2	12	0	4	1	3
Sbene_G00032	0	17	0	20	0	21	0	10
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	57	11	25	55	5	4	9	28
Sbene_G00037	22	13	0	21	19	39	0	16
Sbene_G00038	0	0	0	0	0	0	2	0
Sbene_G00040	0	0	5	15	0	0	0	2
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	26	12	67	0	90	11	0	4
Sbene_G00044	0	0	1	0	7	2	2	0
Sbene_G00045	0	0	0	0	20	6	4	2
Sbene_G00046	4	0	0	0	0	0	10	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	2	0
Sbene_G00049	0	0	0	0	0	0	2	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	89	0	94	0	219	0	54
Sbene_G00053	2	20	7	14	12	48	0	7
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	7	29	0	4	27	51	0	0
Sbene_G00060	0	0	0	0	0	0	2	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	2	0
Sbene_G00063	1	0	8	0	15	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	2	0	0
Sbene_G00068	0	1	1	0	1	1	2	0
Sbene_G00069	1	0	2	0	0	0	0	1
Sbene_G00070	0	2	1	0	0	0	1	0
Sbene_G00073	16	3	21	65	5	12	39	83
Sbene_G00075	221	296	66	312	341	939	10	41
Sbene_G00078	0	2	0	18	0	1	0	5
Sbene_G00079	0	4	0	8	1	51	1	3
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	4	0
Sbene_G00083	23	44	115	21	120	34	0	9
Sbene_G00085	3985	1358	4212	85	761	330	93	44
Sbene_G00086	33	4	10	7	8	2	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	29	39	0	42	0	2	10	118
Sbene_G00092	0	0	0	0	0	3	4	1
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	6	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	6	0
Sbene_G00098	0	9	0	0	0	0	0	7
Sbene_G00101	0	0	0	0	0	0	8	2
Sbene_G00104	6	29	1	8	82	103	1	4
Sbene_G00106	0	0	0	0	2	2	0	0
Sbene_G00107	0	2	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	2	0	0	0	2	2	0
Sbene_G00112	998	773	92	1423	925	953	44	806
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	1	7	9	75	0	0	2	34
Sbene_G00121	42	24	113	29	483	77	300	14
Sbene_G00122	0	0	0	0	3	5	0	0
Sbene_G00123	0	0	0	0	0	0	8	0
Sbene_G00124	0	0	0	0	0	0	2	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	4	3	3	0	0	0	2
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	33	0	32	19	13	0	9
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	7	21	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	262	25	225	2	86	23	16	11
Sbene_G00137	0	0	4	6	0	0	0	0
Sbene_G00138	397	205	264	77	672	122	77	54
Sbene_G00139	0	0	0	1	5	48	0	0
Sbene_G00140	2	2	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	2	0
Sbene_G00142	13	15	24	17	31	13	1	0
Sbene_G00143	4	2	0	1	0	0	1	2
Sbene_G00144	0	3	11	6	0	0	0	0
Sbene_G00145	0	12	0	33	0	49	0	46
Sbene_G00146	84	177	183	122	28	48	51	127
Sbene_G00147	104	163	20	165	74	177	7	10
Sbene_G00148	1591	497	563	1786	4367	1907	340	477
Sbene_G00149	788	1149	566	1011	577	896	151	278
Sbene_G00152	30	70	19	84	13	80	4	66
Sbene_G00153	117	447	294	120	13	66	65	172
Sbene_G00154	121	30	36	58	195	129	0	3
Sbene_G00155	584	945	963	717	342	653	130	600
Sbene_G00157	18	40	0	70	10	46	0	18
Sbene_G00158	0	0	0	0	221	15	2	0
Sbene_G00159	3	20	0	35	2	437	13	2
Sbene_G00161	395	150	96	215	0	0	101	623
Sbene_G00162	3	0	0	8	24	15	4	10
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	1	0	166	26	3	4
Sbene_G00165	15	5	30	21	0	0	31	50
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	70	161	69	172	6	1	26	113
Sbene_G00168	0	0	0	0	206	127	0	1
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	4	0	0	0
Sbene_G00171	30	103	82	16	50	109	30	16
Sbene_G00173	9744	21726	8157	12318	21181	20184	172	3954
Sbene_G00174	0	0	0	1	0	1	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
