GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	1	0	0	0	0	0	1	0
Sbene_G00007	2	0	2	3	1	0	0	0
Sbene_G00008	0	0	6	0	0	0	0	8
Sbene_G00009	2	0	0	0	0	0	1	1
Sbene_G00010	3	17	2	1	40	15	1	7
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	11	2	0	1
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	11	12	12	0	11	0	4
Sbene_G00029	0	15	11	10	0	10	1	1
Sbene_G00030	0	3	0	0	7	15	0	7
Sbene_G00031	0	0	0	2	0	0	0	2
Sbene_G00032	0	0	0	0	0	4	0	0
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	4	3	6	52	0	4	5	32
Sbene_G00037	0	0	0	3	4	8	0	9
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	4	1	5	0	0	2	2	0
Sbene_G00044	0	0	0	0	13	3	8	0
Sbene_G00045	0	0	0	0	19	2	5	0
Sbene_G00046	2	0	3	1	0	0	8	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	7	0	8	0	38	0	17
Sbene_G00053	0	4	0	1	7	9	0	1
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	1	10	1	19	2	31	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	2	2	0	2	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	4	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	2	2	1	0	4	2	1
Sbene_G00075	3	95	136	347	140	610	0	57
