GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	1153	64	1112	919	701	669	119	169
Sbene_G00008	3	0	3	4	0	0	6	8
Sbene_G00009	9	11	4	15	11	2	17	123
Sbene_G00010	87	132	37	53	288	141	23	21
Sbene_G00017	0	0	0	0	0	0	2	0
Sbene_G00019	0	1	0	0	0	7	0	4
Sbene_G00020	0	0	0	0	2	0	0	6
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	18	7	2	0	11	0	2
Sbene_G00029	0	3	0	2	0	1	0	0
Sbene_G00030	0	2	0	2	1	17	0	2
Sbene_G00031	2	5	4	7	0	3	2	7
Sbene_G00032	0	2	0	1	0	2	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	12	15	6	56	4	9	0	24
Sbene_G00037	0	1	0	4	0	8	0	3
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	11	0	1	0	3	0	7
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	7	4	40	1	20	5	1	10
Sbene_G00044	0	0	0	3	13	5	5	0
Sbene_G00045	0	0	0	0	17	2	5	0
Sbene_G00046	4	0	1	1	0	0	8	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	12	0	15	0	26	0	3
Sbene_G00053	0	0	0	1	1	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	3	14	0	8	11	18	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	1	0	6	0	0	1
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	1	0	0	0	0	1	0	0
Sbene_G00073	2	2	7	20	0	5	30	50
Sbene_G00075	27	75	24	155	117	437	0	21
Sbene_G00078	0	6	1	4	0	2	0	9
Sbene_G00079	0	1	0	0	2	14	0	1
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	1	0	0	0	0	0	1	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	112	479	93	113	235	315	13	68
Sbene_G00085	1095	913	265	298	98	252	4	199
Sbene_G00086	0	0	0	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	1	16	0	17	0	0	0	56
Sbene_G00092	1	1	0	4	1	14	1	8
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	2	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	2	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	3	0	0	0	0	0	3
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	3	0	3	19	13	2	4
Sbene_G00106	0	0	3	1	5	1	0	0
Sbene_G00107	0	0	0	1	0	0	0	1
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	0	0	2	0	2	0	0
Sbene_G00112	11	42	13	148	84	105	5	92
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	13	24	6	29	0	4	3	71
Sbene_G00121	4	4	2	0	24	0	12	2
Sbene_G00122	0	0	0	0	1	0	1	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	7	0	0	0	0	0	1
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	3	13	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	17	1	112	9	45	0	2	4
Sbene_G00137	0	0	2	2	0	0	0	0
Sbene_G00138	63	17	54	7	76	9	4	24
Sbene_G00139	0	0	0	1	1	4	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	18	21	41	9	25	30	1	1
Sbene_G00143	0	0	6	2	0	0	3	1
Sbene_G00144	7	16	5	24	5	2	8	31
Sbene_G00145	0	1	0	0	0	4	0	3
Sbene_G00146	12	47	81	80	9	13	29	41
Sbene_G00147	3	23	4	25	13	22	0	2
Sbene_G00148	199	29	258	888	885	1184	114	181
Sbene_G00149	136	314	272	463	298	351	130	164
Sbene_G00152	7	34	4	21	17	70	5	28
Sbene_G00153	16	100	42	33	8	36	58	133
Sbene_G00154	17	4	5	10	22	9	0	1
Sbene_G00155	73	211	276	241	112	170	66	347
Sbene_G00157	0	0	0	11	0	7	0	4
Sbene_G00158	0	0	0	0	1332	469	29	20
Sbene_G00159	0	3	0	6	0	85	0	0
Sbene_G00161	5	28	3	3	0	2	4	13
Sbene_G00162	0	1	0	0	2	1	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	1	55	20	2	0
Sbene_G00165	12	0	2	7	0	0	3	8
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	23	38	15	70	0	1	12	31
Sbene_G00168	0	0	0	0	34	34	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	2	1	2	1	7	2	3
Sbene_G00173	2295	19015	5260	13144	26441	12109	44	6866
Sbene_G00174	2	2	0	17	2	3	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	2	0
