GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	0	7	0	3	0	0
Sbene_G00008	0	0	0	8	0	0	0	0
Sbene_G00009	0	0	0	0	0	0	0	0
Sbene_G00010	6	0	1	16	21	6	0	0
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	0	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	16	2	5	0	27	0	34
Sbene_G00029	0	52	4	48	0	34	6	14
Sbene_G00030	0	4	0	8	12	34	0	14
Sbene_G00031	0	8	4	12	0	0	0	10
Sbene_G00032	0	12	0	7	0	12	0	9
Sbene_G00033	0	29	0	12	7	5	0	1
Sbene_G00036	8	0	0	0	0	0	0	0
Sbene_G00037	0	1	2	10	0	19	2	0
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	1	0	4	0	1	0	4
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	11	15	0	0	4	0	0	0
Sbene_G00044	0	2	1	0	4	1	13	1
Sbene_G00045	0	0	0	0	11	0	3	0
Sbene_G00046	0	0	0	0	0	0	0	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	10	0	26	0	26	0	20
Sbene_G00053	0	2	0	0	2	10	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	0	0	0	2	0	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	8	0	10	2	2	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	0	0	0	0	0	0	0
Sbene_G00075	9	30	31	302	123	418	11	104
Sbene_G00078	0	0	0	0	0	0	0	0
Sbene_G00079	0	0	0	4	0	8	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	0	0	4	6	4	3	0	1
Sbene_G00085	0	0	11	2	3	0	0	2
Sbene_G00086	0	0	11	5	6	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	5	3	4	13	0	0	2	17
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	2	0	0	0	2	0
Sbene_G00101	0	0	0	0	0	0	1	1
Sbene_G00104	0	0	0	0	0	0	0	0
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	0	0	0	0	0	0	0
Sbene_G00112	39	48	501	903	451	634	0	486
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	3	6	0	0	0	0	3	0
Sbene_G00121	0	6	0	0	0	7	0	3
Sbene_G00122	0	0	0	0	0	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	4	0	0	0	0	0	6
Sbene_G00127	0	29	0	0	0	0	45	0
Sbene_G00128	0	9	0	10	7	2	0	8
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	4	0	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	0	0	22	0	0	0	0	0
Sbene_G00137	0	8	2	4	0	0	0	0
Sbene_G00138	30	9	47	5	39	3	4	3
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	5	12	182	38	90	16	0	1
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	0	0	4	5	0	0	1	0
Sbene_G00145	0	13	0	19	0	12	0	10
Sbene_G00146	4	8	10	19	0	0	5	10
Sbene_G00147	18	5	1	22	3	45	4	2
Sbene_G00148	76	74	173	482	246	607	78	32
Sbene_G00149	51	79	35	39	27	74	11	56
Sbene_G00152	0	4	0	11	2	4	0	9
Sbene_G00153	0	0	16	14	0	0	0	0
Sbene_G00154	0	0	37	29	6	16	0	0
Sbene_G00155	30	43	221	223	70	128	23	72
Sbene_G00157	8	4	5	14	0	5	0	0
Sbene_G00158	0	0	0	0	8	0	2	0
Sbene_G00159	0	1	0	3	0	154	0	0
Sbene_G00161	3	19	6	9	0	0	0	13
Sbene_G00162	0	0	0	0	0	8	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	0	6	0	0
Sbene_G00165	0	0	0	0	0	0	0	0
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	4	27	4	89	0	4	2	48
Sbene_G00168	0	0	0	0	308	106	0	2
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	3	20	16	13	19	1	0
Sbene_G00173	45	4869	3635	11266	8228	5747	1	179
Sbene_G00174	0	0	0	1	0	1	0	0
Sbene_G00177	0	0	0	0	0	0	2	0
Sbene_G00178	0	2	11	12	0	3	6	0
