GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	271	29	321	194	162	159	39	63
Sbene_G00008	2	0	0	0	0	0	0	0
Sbene_G00009	21	13	3	0	4	0	15	48
Sbene_G00010	49	36	25	23	182	38	24	35
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	6	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	2	5	1	0	6	0	0
Sbene_G00029	2	9	1	4	1	7	0	0
Sbene_G00030	0	0	1	3	7	5	0	2
Sbene_G00031	6	0	0	2	0	1	0	1
Sbene_G00032	0	0	0	1	0	0	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	25	4	10	48	0	10	6	47
Sbene_G00037	0	0	0	6	0	0	0	6
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	2	31	0	9	0	1	0	7
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	3	4	58	1	41	2	1	0
Sbene_G00044	0	0	0	0	5	1	2	0
Sbene_G00045	0	0	0	0	13	1	3	1
Sbene_G00046	2	0	0	0	0	0	0	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	23	0	24	0	66	0	19
Sbene_G00053	0	0	0	0	0	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	4	6	1	19	4	18	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	2	0
Sbene_G00063	0	0	0	0	2	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	2	0	0	0	0	0
Sbene_G00070	2	2	2	0	0	0	2	0
Sbene_G00073	5	5	29	32	1	5	14	31
Sbene_G00075	63	93	89	258	143	652	1	75
Sbene_G00078	0	16	0	5	0	3	0	14
Sbene_G00079	0	0	0	0	0	18	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	112	251	187	73	300	127	3	35
Sbene_G00085	292	287	199	63	40	63	5	55
Sbene_G00086	0	4	0	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	1	6	0	6	0	0	0	9
Sbene_G00092	0	0	0	0	0	1	0	3
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	0	0	0	0	4
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	0	0	6	10	3	0	1
Sbene_G00106	2	0	0	0	2	0	2	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	0	1	0	0	1	0	0
Sbene_G00112	58	54	14	120	84	91	8	49
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	7	40	13	79	0	6	2	101
Sbene_G00121	0	0	1	0	1	0	0	0
Sbene_G00122	0	0	0	0	0	0	0	0
Sbene_G00123	0	0	0	0	0	0	6	0
Sbene_G00124	0	0	0	0	0	0	2	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	0	0	2	2	4	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	5	1	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	76	55	40	13	26	22	1	9
Sbene_G00137	0	0	1	1	0	0	0	0
Sbene_G00138	34	31	15	1	71	22	5	17
Sbene_G00139	0	0	0	0	0	2	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	14	22	29	12	31	7	0	3
Sbene_G00143	0	0	0	0	0	0	1	1
Sbene_G00144	6	2	6	8	2	7	0	15
Sbene_G00145	0	0	0	1	0	3	0	0
Sbene_G00146	46	100	42	59	21	10	11	67
Sbene_G00147	33	16	6	31	13	28	2	3
Sbene_G00148	437	295	417	594	1254	1188	5	212
Sbene_G00149	404	509	319	531	332	412	87	162
Sbene_G00152	6	18	15	41	36	51	19	24
Sbene_G00153	13	93	59	48	1	19	9	84
Sbene_G00154	17	4	5	2	15	12	0	1
Sbene_G00155	169	262	485	285	129	202	92	248
Sbene_G00157	0	4	2	11	5	5	0	1
Sbene_G00158	0	0	0	0	544	230	16	20
Sbene_G00159	0	3	0	5	0	94	0	0
Sbene_G00161	1	2	7	33	0	0	0	9
Sbene_G00162	0	2	0	0	0	2	2	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	34	13	1	0
Sbene_G00165	128	5	18	8	5	0	18	46
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	34	43	0	21	0	0	5	31
Sbene_G00168	0	0	0	0	77	75	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	1	4	0	2	1	0	0
Sbene_G00173	2984	6940	4030	11023	11466	8695	435	511
Sbene_G00174	1	0	0	0	0	1	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
