GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	23	2	18	18	5	14	3	15
Sbene_G00008	0	0	10	2	0	0	6	0
Sbene_G00009	0	1	1	6	1	1	2	32
Sbene_G00010	41	42	10	22	86	47	5	21
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	1	0	3	0	0
Sbene_G00020	0	0	0	0	2	14	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	0	5	3	0	3	0	3
Sbene_G00029	0	4	0	7	0	1	0	0
Sbene_G00030	0	1	0	1	11	9	0	2
Sbene_G00031	0	13	5	27	0	11	0	12
Sbene_G00032	0	0	0	0	0	0	0	0
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	65	12	2	52	7	15	10	35
Sbene_G00037	0	0	0	6	2	2	0	0
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	4	0	0	0
Sbene_G00043	0	0	0	0	0	3	0	1
Sbene_G00044	1	1	0	1	11	1	1	0
Sbene_G00045	0	0	0	0	11	0	5	0
Sbene_G00046	1	0	0	0	0	0	3	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	2	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	8	0	16	0	31	0	5
Sbene_G00053	0	0	0	0	0	0	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	6	4	0	10	4	18	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	0	12	0	2	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	9	0	2	16	1	6	22	30
Sbene_G00075	67	37	27	190	266	409	1	23
Sbene_G00078	0	3	3	11	0	2	0	11
Sbene_G00079	0	1	0	0	2	18	0	1
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	63	114	132	65	137	188	7	16
Sbene_G00085	223	160	150	19	36	44	4	32
Sbene_G00086	0	2	2	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	2	0	0	0	2
Sbene_G00092	0	1	0	1	0	2	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	2	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	0	0	0	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	14	0	12	23	43	0	4
Sbene_G00106	0	0	0	0	2	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	0	0	0	0	2	0	0
Sbene_G00112	23	41	6	146	50	139	4	103
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	2	1	0	7	0	0	5	5
Sbene_G00121	0	0	0	0	3	3	0	2
Sbene_G00122	0	0	0	0	3	1	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	8	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	4	0	3	0	0	0	1
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	0	4	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	111	11	4	1	19	2	4	14
Sbene_G00137	0	0	4	5	0	2	0	1
Sbene_G00138	8	9	9	3	40	5	1	5
Sbene_G00139	0	0	0	0	0	4	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	9	7	17	9	18	10	0	0
Sbene_G00143	0	0	0	4	0	0	0	0
Sbene_G00144	8	11	8	7	6	2	10	6
Sbene_G00145	0	0	0	2	0	4	0	0
Sbene_G00146	16	36	113	79	14	25	42	39
Sbene_G00147	0	18	7	31	16	19	4	1
Sbene_G00148	218	140	107	383	850	576	85	93
Sbene_G00149	91	83	194	443	234	196	71	104
Sbene_G00152	8	10	12	72	40	48	6	52
Sbene_G00153	9	30	122	35	2	27	13	46
Sbene_G00154	47	7	10	5	37	43	1	0
Sbene_G00155	76	95	689	365	186	265	130	384
Sbene_G00157	0	13	1	38	1	9	0	2
Sbene_G00158	0	0	0	0	329	82	6	7
Sbene_G00159	0	7	3	5	0	104	2	1
Sbene_G00161	3	12	6	20	0	0	0	5
Sbene_G00162	0	0	0	4	0	0	1	1
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	40	30	0	2
Sbene_G00165	2	0	0	0	0	0	1	3
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	16	10	56	112	0	4	20	52
Sbene_G00168	0	0	0	0	47	27	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	6	5	2	3	5	7	4	4
Sbene_G00173	930	5101	3338	4703	8157	6409	422	2016
Sbene_G00174	1	1	0	0	2	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
