GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	28	0	37	19	22	22	3	19
Sbene_G00008	4	0	0	3	0	0	3	0
Sbene_G00009	0	0	0	0	2	0	2	2
Sbene_G00010	7	21	4	0	47	30	1	4
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	1	0	1
Sbene_G00020	0	0	0	0	0	4	0	4
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	4	2	0	0	4	0	0
Sbene_G00029	2	10	2	7	0	13	0	0
Sbene_G00030	0	2	0	4	6	13	0	5
Sbene_G00031	9	4	0	12	4	1	0	0
Sbene_G00032	0	3	0	3	0	1	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	23	16	9	30	3	5	5	19
Sbene_G00037	0	2	0	1	0	10	0	1
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	1	0	1	0	1	0	1
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	6	2	0	0	2	0	0	0
Sbene_G00044	0	0	0	2	5	0	1	0
Sbene_G00045	0	0	0	0	8	0	2	0
Sbene_G00046	0	0	0	0	0	0	0	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	4	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	1	12	0	7	1	23	0	10
Sbene_G00053	0	0	0	4	3	5	0	2
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	1	6	5	6	11	11	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	2	0
Sbene_G00063	3	1	6	0	3	0	2	1
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	2	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	10	1	2	7	3	3	9	11
Sbene_G00075	45	43	30	153	201	347	0	21
Sbene_G00078	0	6	0	3	0	0	0	5
Sbene_G00079	0	2	0	0	3	3	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	8	11	24	4	23	14	0	2
Sbene_G00085	45	40	25	2	11	7	0	8
Sbene_G00086	0	0	1	1	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	0
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	2	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	2	0	0	0	0	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	9	0	3	9	14	1	4
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	0	0	1	0	1	0	0
Sbene_G00112	24	56	13	221	74	192	12	154
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	1	4	0	5	0	0	5	3
Sbene_G00121	0	0	0	0	0	4	0	0
Sbene_G00122	0	0	0	0	2	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	6	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	3	0	10	3	4	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	4	2	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	131	20	7	4	37	0	1	6
Sbene_G00137	0	2	0	2	0	2	4	0
Sbene_G00138	9	10	3	2	13	4	1	2
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	7	14	10	5	8	8	0	0
Sbene_G00143	0	0	0	1	0	0	2	1
Sbene_G00144	7	5	2	7	0	0	7	2
Sbene_G00145	0	8	0	9	0	7	0	10
Sbene_G00146	17	39	97	91	15	14	19	38
Sbene_G00147	13	16	11	30	18	18	1	3
Sbene_G00148	152	118	91	298	591	456	69	49
Sbene_G00149	89	72	139	253	149	117	55	68
Sbene_G00152	2	10	16	50	30	23	7	26
Sbene_G00153	8	15	62	26	1	9	8	21
Sbene_G00154	49	2	11	11	47	34	0	0
Sbene_G00155	49	58	390	236	130	168	78	281
Sbene_G00157	0	2	0	24	3	9	0	0
Sbene_G00158	0	0	0	0	50	6	1	1
Sbene_G00159	0	2	0	3	0	113	0	4
Sbene_G00161	2	9	10	24	0	0	1	8
Sbene_G00162	2	0	0	0	4	2	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	30	22	1	7
Sbene_G00165	11	1	6	0	0	0	6	6
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	18	12	74	86	1	3	19	49
Sbene_G00168	0	0	0	0	67	27	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	2	3	16	5	4	16	1	3
Sbene_G00173	482	2676	1363	2602	3893	3023	271	814
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
