GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	47	2	135	43	61	34	5	13
Sbene_G00008	3	0	6	4	0	0	10	3
Sbene_G00009	1	2	0	4	0	1	1	25
Sbene_G00010	26	13	11	39	63	52	2	10
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	8	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	4	0	4	0	2	0	0
Sbene_G00029	0	3	0	5	0	4	0	0
Sbene_G00030	0	0	0	4	4	30	0	4
Sbene_G00031	0	6	2	11	0	25	0	20
Sbene_G00032	0	6	0	3	0	4	0	3
Sbene_G00033	0	0	0	1	2	3	0	0
Sbene_G00036	19	3	5	46	0	4	15	22
Sbene_G00037	4	8	0	6	0	4	0	6
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	2	8	0	11	0	0	0	7
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	0	0	39	0	11	2	6	2
Sbene_G00044	0	0	0	2	1	0	1	0
Sbene_G00045	0	0	0	0	13	2	1	0
Sbene_G00046	0	0	0	0	0	0	0	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	11	0	18	0	32	0	13
Sbene_G00053	0	6	0	4	4	16	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	5	0	0	6	9	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	7	0	0	12	10	7	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	3	2	0	0	0	0	3	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	2	0	0	0	0	0
Sbene_G00073	10	3	1	24	5	0	23	24
Sbene_G00075	70	56	58	256	196	434	2	32
Sbene_G00078	0	1	0	4	0	0	0	1
Sbene_G00079	0	0	0	0	0	20	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	16	0	4	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	35	166	122	51	162	57	13	22
Sbene_G00085	147	96	132	22	21	42	5	19
Sbene_G00086	0	0	0	4	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	12	0	0	0	0	0	0
Sbene_G00092	0	0	8	2	0	0	0	2
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	1	0	0	0	0	0	1
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	13	2	1	8	30	0	2
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	2	4	0	0
Sbene_G00111	0	1	0	0	0	1	0	0
Sbene_G00112	44	64	29	295	139	246	15	164
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	5	5	17	40	0	0	0	27
Sbene_G00121	0	0	0	0	18	0	10	2
Sbene_G00122	0	0	0	0	6	2	6	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	12	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	11	0	8	0	2	0	1
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	0	4	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	55	8	34	10	17	12	0	14
Sbene_G00137	0	0	4	4	0	0	0	0
Sbene_G00138	14	10	42	9	23	3	2	7
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	6	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	7	10	14	0	13	0	0	0
Sbene_G00143	0	0	0	0	0	0	2	0
Sbene_G00144	12	18	15	20	6	0	0	1
Sbene_G00145	0	1	0	5	0	6	0	8
Sbene_G00146	38	33	89	51	20	9	23	51
Sbene_G00147	8	28	10	37	7	9	5	0
Sbene_G00148	164	69	120	239	563	439	79	63
Sbene_G00149	111	89	191	327	170	168	75	75
Sbene_G00152	31	9	0	41	65	78	13	33
Sbene_G00153	3	20	20	52	4	23	22	78
Sbene_G00154	34	9	0	5	66	16	0	0
Sbene_G00155	84	143	429	388	134	206	89	399
Sbene_G00157	0	0	0	33	10	25	0	0
Sbene_G00158	0	0	0	0	195	50	0	11
Sbene_G00159	0	1	0	18	1	116	0	0
Sbene_G00161	2	5	6	20	0	0	1	16
Sbene_G00162	0	0	0	0	5	5	0	0
Sbene_G00163	0	6	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	58	38	4	8
Sbene_G00165	11	4	6	21	0	0	3	17
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	11	24	39	88	0	8	13	27
Sbene_G00168	0	0	0	0	52	26	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	4	20	9	22	0	34	1	8
Sbene_G00173	974	5233	2020	3946	6602	5399	381	1691
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
