GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	1	18	0	0	1	0	18	36
Sbene_G00008	0	0	0	28	0	0	0	36
Sbene_G00009	0	0	0	10	0	0	0	96
Sbene_G00010	136	52	9	128	173	245	0	5
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	0	10	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	35	0	23	0	88	0	18
Sbene_G00029	9	26	0	104	0	57	0	62
Sbene_G00030	0	0	0	8	20	80	0	102
Sbene_G00031	0	50	0	23	0	15	0	0
Sbene_G00032	0	10	0	35	0	36	0	19
Sbene_G00033	0	1	0	0	0	1	0	0
Sbene_G00036	276	116	144	566	49	234	113	342
Sbene_G00037	0	0	0	46	0	40	0	0
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	32	0	25	0	28	0	37
Sbene_G00042	0	0	0	0	0	14	0	0
Sbene_G00043	22	74	127	5	84	27	0	9
Sbene_G00044	0	0	6	0	36	0	4	0
Sbene_G00045	0	0	0	0	84	0	8	0
Sbene_G00046	24	0	0	0	0	0	4	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	99	0	166	0	269	0	78
Sbene_G00053	0	27	14	41	72	145	0	15
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	6	37	0	5	10	116	0	0
Sbene_G00060	0	0	0	0	0	0	6	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	12	0
Sbene_G00063	0	0	0	0	0	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	29	1	22	27	8	5	46	48
Sbene_G00075	633	1200	257	1659	1235	5069	13	160
Sbene_G00078	0	38	0	38	0	47	0	71
Sbene_G00079	0	0	0	0	32	132	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	4	0
Sbene_G00083	162	210	576	221	714	247	1	51
Sbene_G00085	384	233	274	33	88	35	2	39
Sbene_G00086	0	0	8	22	8	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	0
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	18	0	0	0	5	0	13
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	12	0	0	25	99	0	4
Sbene_G00106	0	0	1	1	6	0	0	0
Sbene_G00107	0	0	0	6	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	12	0	5	7
Sbene_G00111	0	0	0	17	0	17	0	0
Sbene_G00112	1356	620	150	2623	1657	1964	109	1073
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	70	59	3	260	0	0	116	306
Sbene_G00121	0	0	0	0	2	0	0	0
Sbene_G00122	0	0	0	0	38	8	3	3
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	12	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	28	0	45	100	12	0	13
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	18	26	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	355	322	808	157	200	54	29	51
Sbene_G00137	0	0	0	36	0	0	0	0
Sbene_G00138	34	16	102	0	197	13	0	34
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	59	96	90	47	106	95	3	2
Sbene_G00143	0	0	0	0	0	0	0	30
Sbene_G00144	0	0	21	45	7	0	25	24
Sbene_G00145	0	91	0	44	0	82	0	27
Sbene_G00146	319	635	648	748	90	123	103	418
Sbene_G00147	59	89	35	205	96	97	3	50
Sbene_G00148	3032	671	1220	3959	7364	4881	277	1336
Sbene_G00149	1393	3244	1189	1627	1498	1775	340	560
Sbene_G00152	283	357	63	31	244	357	10	483
Sbene_G00153	132	652	143	87	21	98	169	426
Sbene_G00154	151	43	32	138	379	262	0	3
Sbene_G00155	1730	2550	1177	1564	927	2042	650	2092
Sbene_G00157	70	0	6	48	11	71	0	6
Sbene_G00158	0	0	0	0	813	127	0	0
Sbene_G00159	0	6	10	28	0	1325	0	1
Sbene_G00161	188	167	0	19	0	12	1	301
Sbene_G00162	0	0	0	1	0	38	8	9
Sbene_G00163	0	18	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	384	88	4	0
Sbene_G00165	41	0	30	22	0	0	9	62
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	180	345	1	522	1	18	93	872
Sbene_G00168	0	0	0	0	512	292	0	10
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	2
Sbene_G00171	0	30	49	48	56	91	9	1
Sbene_G00173	12056	28993	12046	38319	46974	31348	245	9735
Sbene_G00174	14	2	0	0	27	7	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
