GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	2	0
Sbene_G00007	814	43	396	197	339	241	71	83
Sbene_G00008	4	2	0	0	0	0	0	0
Sbene_G00009	24	10	2	8	2	2	3	79
Sbene_G00010	38	70	28	37	153	98	9	15
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	2	0	4
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	5	5	2	0	6	0	0
Sbene_G00029	0	2	0	4	0	0	0	0
Sbene_G00030	0	0	0	1	1	4	0	0
Sbene_G00031	8	7	6	11	2	2	0	6
Sbene_G00032	0	0	0	0	0	0	0	2
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	45	10	3	65	9	23	4	45
Sbene_G00037	0	0	0	1	4	2	0	1
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	2	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	5	4	31	0	23	9	0	8
Sbene_G00044	0	1	0	1	13	5	7	1
Sbene_G00045	0	0	0	0	5	0	1	0
Sbene_G00046	2	0	7	3	0	0	10	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	11	0	22	0	22	0	3
Sbene_G00053	0	0	0	0	4	0	0	2
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	7	14	0	1	10	6	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	2	0	1	0	0	2	1	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	1	0	0	0	0	0	0	1
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	10	5	10	12	2	3	3	25
Sbene_G00075	46	51	47	163	142	338	3	34
Sbene_G00078	0	6	0	3	0	1	0	10
Sbene_G00079	0	0	0	0	0	26	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	122	389	96	73	253	212	9	44
Sbene_G00085	759	644	219	362	59	181	5	187
Sbene_G00086	0	0	4	1	0	1	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	6	8	0	16	0	0	1	31
Sbene_G00092	0	0	1	1	0	10	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	2	0
Sbene_G00098	0	0	0	2	0	0	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	1	1	0	4	15	10	0	3
Sbene_G00106	2	0	2	2	8	0	2	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	7	0	1	0
Sbene_G00111	0	2	0	4	2	2	0	0
Sbene_G00112	64	59	17	153	89	110	5	57
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	2	3	1	1	0	0	4	13
Sbene_G00121	0	0	1	0	5	1	1	0
Sbene_G00122	0	0	0	0	10	0	6	0
Sbene_G00123	0	0	0	0	0	0	2	0
Sbene_G00124	0	2	0	0	0	0	2	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	1	0	0	1	0	0	0
Sbene_G00128	0	0	0	2	0	2	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	3	3	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	25	56	72	7	23	14	0	3
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	52	37	39	4	78	20	4	14
Sbene_G00139	0	1	0	0	1	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	23	22	41	11	25	13	0	1
Sbene_G00143	1	5	0	0	0	0	2	2
Sbene_G00144	6	5	6	13	2	5	5	8
Sbene_G00145	0	1	0	2	0	0	0	1
Sbene_G00146	38	38	50	33	8	17	14	44
Sbene_G00147	8	10	3	25	8	19	2	7
Sbene_G00148	398	70	177	501	1287	509	103	103
Sbene_G00149	167	232	123	377	138	309	60	122
Sbene_G00152	9	29	7	41	26	55	3	32
Sbene_G00153	19	112	13	16	6	27	48	83
Sbene_G00154	11	3	2	3	25	16	0	0
Sbene_G00155	146	240	209	206	94	216	51	332
Sbene_G00157	0	7	0	19	2	8	0	2
Sbene_G00158	0	0	0	0	821	252	23	24
Sbene_G00159	0	1	0	3	2	84	3	1
Sbene_G00161	3	10	3	5	0	0	0	13
Sbene_G00162	0	0	0	0	2	4	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	1	0	97	5	1	0
Sbene_G00165	3	1	0	2	0	1	3	8
