GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	0	0	0	0	0	0
Sbene_G00008	0	0	1	0	0	0	1	2
Sbene_G00009	0	0	0	0	0	0	1	1
Sbene_G00010	26	27	0	4	86	31	1	17
Sbene_G00017	0	0	0	0	0	0	6	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	1	6	1	0	8	0	4
Sbene_G00029	2	36	3	21	1	12	1	10
Sbene_G00030	0	2	0	5	0	34	0	7
Sbene_G00031	2	0	0	4	2	0	0	0
Sbene_G00032	0	6	0	11	0	5	0	2
Sbene_G00033	0	0	5	6	2	11	2	2
Sbene_G00036	0	0	4	0	0	0	0	0
Sbene_G00037	0	6	0	11	1	10	0	2
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	10	6	24	0	17	1	3	7
Sbene_G00044	0	4	0	1	16	0	5	0
Sbene_G00045	0	0	0	0	24	1	6	1
Sbene_G00046	2	4	0	1	0	0	11	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	7	0	5	0	17	0	3
Sbene_G00053	2	32	6	2	15	51	0	4
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	11	11	0	0	4	6	0	0
Sbene_G00060	0	0	0	0	0	0	2	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	8	0	11	1	31	2	9	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	4	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	0	4	13	0	4	14	17
Sbene_G00075	42	261	200	590	452	1445	4	66
Sbene_G00078	0	6	0	2	0	0	0	0
Sbene_G00079	0	8	1	5	3	7	0	2
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	7	17	3	12	16	21	0	2
Sbene_G00085	47	18	2	2	4	8	0	3
Sbene_G00086	0	4	12	4	1	0	0	3
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	1	0	0	0	0	0	3
Sbene_G00092	0	0	0	0	0	0	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	2	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	7	1	0	0	0	1	1
Sbene_G00101	0	0	0	0	0	0	0	4
Sbene_G00104	0	0	0	0	3	6	1	0
Sbene_G00106	1	0	0	0	1	2	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	4	0	0	0	2	0	0
Sbene_G00112	125	425	216	1732	781	1466	7	1332
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	0	0	0	0	0	0	2
Sbene_G00121	0	0	0	0	3	0	3	0
Sbene_G00122	0	0	0	0	2	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	6	0	0	0	0	0	2
Sbene_G00127	7	0	0	0	1	0	40	0
Sbene_G00128	0	18	0	20	8	2	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	6	3	1	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	52	3	59	15	24	1	2	2
Sbene_G00137	0	2	0	0	0	0	0	0
Sbene_G00138	134	30	8	10	161	14	19	42
Sbene_G00139	0	4	0	1	7	11	0	1
Sbene_G00140	0	4	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	4	4	16	0	14	3	1	0
Sbene_G00143	1	1	1	2	0	0	1	4
Sbene_G00144	1	8	8	8	1	5	4	7
Sbene_G00145	0	9	0	7	0	11	0	9
Sbene_G00146	8	24	75	36	7	7	13	20
Sbene_G00147	10	51	31	51	71	48	0	6
Sbene_G00148	289	85	135	949	1172	1348	64	352
Sbene_G00149	61	164	159	157	112	133	47	69
Sbene_G00152	2	2	0	4	6	14	0	8
Sbene_G00153	3	33	9	21	2	8	6	20
Sbene_G00154	47	4	8	12	107	18	0	2
Sbene_G00155	87	325	94	196	81	271	95	471
Sbene_G00157	0	0	0	57	3	9	0	15
Sbene_G00158	0	0	0	0	12	3	1	0
Sbene_G00159	0	4	1	14	1	110	0	0
Sbene_G00161	32	100	8	5	0	2	26	45
Sbene_G00162	0	0	0	0	5	7	2	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	51	9	0	0
Sbene_G00165	0	0	0	0	0	0	0	0
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	16	27	67	95	0	2	6	33
Sbene_G00168	0	0	0	0	155	53	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	4	0	0	0
Sbene_G00171	28	13	11	13	52	34	51	18
Sbene_G00173	2437	7513	5519	8647	20736	3130	67	3901
Sbene_G00174	0	0	0	0	0	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	9	14	23	1	4	7	0	0
