GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	1122	184	990	419	710	364	113	170
Sbene_G00008	16	0	7	0	0	0	5	6
Sbene_G00009	89	44	3	26	23	1	42	208
Sbene_G00010	103	92	33	27	393	110	48	44
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	2	1	2	2	5	0	0
Sbene_G00020	0	0	0	0	1	4	0	1
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	2	0	0	0	0	2	0
Sbene_G00029	0	4	3	5	0	10	0	2
Sbene_G00030	0	0	0	0	0	0	0	2
Sbene_G00031	4	5	6	30	2	5	0	14
Sbene_G00032	0	3	0	1	0	2	0	2
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	74	10	2	94	6	25	20	57
Sbene_G00037	0	3	0	1	0	1	0	3
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	1	55	0	49	0	8	0	17
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	0	2	21	0	19	1	0	3
Sbene_G00044	0	1	1	4	29	3	9	1
Sbene_G00045	0	0	0	0	44	3	3	2
Sbene_G00046	4	0	1	1	0	0	4	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	54	2	87	1	149	0	77
Sbene_G00053	0	0	1	0	1	2	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	16	4	6	13	13	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	2	0
Sbene_G00063	0	0	0	0	0	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	2	0	4	0	0	0
Sbene_G00069	0	0	2	0	0	0	0	0
Sbene_G00070	4	0	3	0	0	0	3	0
Sbene_G00073	217	33	71	136	19	35	42	129
Sbene_G00075	135	162	73	238	198	832	9	43
Sbene_G00078	0	12	4	10	0	0	0	8
Sbene_G00079	0	0	0	0	0	14	0	0
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	119	114	154	47	257	99	5	15
Sbene_G00085	203	148	153	25	37	33	6	21
Sbene_G00086	2	0	1	0	1	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	17	4	0	8	0	0	0	15
Sbene_G00092	0	2	0	0	9	5	0	4
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	1	7	0	4	0	2	1	3
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	1	0	3	15	24	0	1
Sbene_G00106	4	0	1	0	13	1	3	0
Sbene_G00107	0	1	0	0	0	0	0	1
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	6	0	0	0
Sbene_G00111	0	0	0	0	0	2	0	0
Sbene_G00112	85	104	12	93	92	95	6	87
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	52	156	52	384	0	14	44	254
Sbene_G00121	0	0	4	0	24	0	6	2
Sbene_G00122	0	0	0	0	6	1	7	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	0	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	2	0	0	2	0	0	0
Sbene_G00128	0	0	0	2	0	0	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	4	10	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	105	43	45	15	21	26	0	5
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	54	25	17	3	45	17	4	11
Sbene_G00139	0	0	0	0	0	4	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	7	39	10	6	10	15	1	0
Sbene_G00143	0	0	0	0	0	0	1	3
Sbene_G00144	3	8	9	33	1	11	0	17
Sbene_G00145	0	0	0	3	0	11	0	0
Sbene_G00146	63	119	67	85	23	26	8	103
Sbene_G00147	9	16	7	22	3	18	0	3
Sbene_G00148	496	386	386	510	1391	1322	0	169
Sbene_G00149	386	475	232	433	323	409	72	160
Sbene_G00152	18	33	7	47	52	59	5	15
Sbene_G00153	16	87	53	34	1	14	14	31
Sbene_G00154	11	0	4	2	16	9	0	0
Sbene_G00155	317	360	669	318	264	270	69	259
Sbene_G00157	3	6	0	7	3	7	0	2
Sbene_G00158	0	0	0	0	1027	361	20	20
Sbene_G00159	0	11	0	15	0	116	0	0
Sbene_G00161	2	20	6	28	0	1	3	14
Sbene_G00162	0	0	1	1	0	0	0	0
Sbene_G00163	0	1	0	0	0	1	0	0
Sbene_G00164	0	1	0	0	74	14	2	3
Sbene_G00165	46	13	76	29	3	0	11	170
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	53	99	0	2	0	1	10	37
Sbene_G00168	0	0	0	0	75	52	0	1
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	0	0	6	1	9	0	0	0
Sbene_G00173	8916	19838	8374	19589	24953	22520	510	600
Sbene_G00174	5	2	0	0	3	4	0	2
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
