GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	7	0	3	0	0	0
Sbene_G00008	0	0	1	0	0	0	0	7
Sbene_G00009	2	1	0	0	1	0	1	3
Sbene_G00010	21	12	5	5	56	18	6	3
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	2
Sbene_G00020	0	0	0	0	0	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	3	3	3	0	3	0	2
Sbene_G00029	0	2	0	2	0	2	0	2
Sbene_G00030	0	0	0	0	2	2	0	0
Sbene_G00031	0	5	5	19	1	0	2	10
Sbene_G00032	0	0	0	0	0	0	0	0
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	13	10	5	72	4	15	4	37
Sbene_G00037	0	0	0	3	0	2	0	3
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	0	0	1	0	2	0	1	0
Sbene_G00044	0	2	2	0	8	1	5	0
Sbene_G00045	0	0	0	0	14	6	6	2
Sbene_G00046	4	0	0	0	0	0	16	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	14	0	13	0	23	0	6
Sbene_G00053	0	1	0	1	2	4	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	0	4	5	6	3	6	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	0	0	0	0	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	8	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	4	0	0	0	1	2	1
Sbene_G00069	0	0	2	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	4	1	11	4	0	5	6	11
Sbene_G00075	1	67	73	168	79	539	0	29
Sbene_G00078	0	1	0	3	0	1	0	7
Sbene_G00079	0	0	0	0	3	31	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	20	61	32	24	90	61	0	10
Sbene_G00085	126	155	63	70	8	41	2	71
Sbene_G00086	0	2	0	0	0	2	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	0	0	0	0	0
Sbene_G00092	1	0	0	0	0	3	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	2	0
Sbene_G00098	0	4	4	3	1	0	0	2
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	1	16	3	7	48	65	1	3
Sbene_G00106	0	0	2	0	4	0	0	0
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	0	0	0	0
Sbene_G00111	0	0	0	1	0	1	0	0
Sbene_G00112	0	13	11	103	20	49	0	44
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	1	0	9	0	0	2	4
Sbene_G00121	1	0	6	0	13	0	4	0
Sbene_G00122	0	0	0	0	2	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	10	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	1	0	2	9	4	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	3	3	2	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	2	45	81	30	24	6	2	6
Sbene_G00137	0	3	0	0	0	1	0	0
Sbene_G00138	15	9	17	0	20	10	2	9
Sbene_G00139	0	0	0	0	2	2	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	9	10	0	0	0	9	0	0
Sbene_G00143	0	2	4	0	0	0	0	0
Sbene_G00144	0	0	2	0	0	4	0	0
Sbene_G00145	0	0	0	3	0	2	0	3
Sbene_G00146	11	78	23	22	19	28	2	49
Sbene_G00147	1	1	7	17	7	19	0	2
Sbene_G00148	35	66	185	462	339	887	2	48
Sbene_G00149	118	256	208	317	152	320	94	95
Sbene_G00152	8	53	11	43	38	66	10	63
Sbene_G00153	3	36	48	45	5	15	22	80
Sbene_G00154	22	14	9	4	32	35	0	4
Sbene_G00155	123	227	397	294	138	244	81	252
Sbene_G00157	2	1	3	20	1	5	2	2
Sbene_G00158	0	0	0	0	166	52	3	1
Sbene_G00159	0	2	0	7	0	87	0	0
Sbene_G00161	1	12	8	29	0	0	0	6
Sbene_G00162	0	0	0	0	5	7	0	0
Sbene_G00163	0	0	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	77	25	1	3
Sbene_G00165	0	0	0	0	0	0	0	0
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	48	58	0	18	0	0	11	59
Sbene_G00168	0	0	0	0	36	22	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	2	0	0	0
Sbene_G00171	4	1	4	5	2	4	1	1
Sbene_G00173	694	1840	1912	4603	6882	2126	330	611
Sbene_G00174	1	0	0	0	1	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
