GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	0	0	24	10	4	6	1	1
Sbene_G00008	2	0	2	2	0	0	0	2
Sbene_G00009	2	2	0	0	0	1	0	11
Sbene_G00010	13	34	5	12	48	33	2	5
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	2	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	3	12	4	0	9	0	0
Sbene_G00029	0	6	1	5	0	4	0	0
Sbene_G00030	0	1	0	1	2	12	0	2
Sbene_G00031	6	7	2	11	1	4	1	8
Sbene_G00032	0	1	0	1	0	3	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	44	28	24	88	25	24	12	29
Sbene_G00037	0	3	0	0	2	7	0	0
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	0	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	10	10	49	3	53	22	2	5
Sbene_G00044	0	1	1	2	9	6	5	0
Sbene_G00045	0	0	0	0	16	0	3	1
Sbene_G00046	0	0	0	0	0	0	0	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	15	0	13	0	46	0	6
Sbene_G00053	0	2	3	5	4	4	0	0
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	1	23	0	1	8	13	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	2	0	2	0	2	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	0	0	0	0	0	0
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	0	0	0	0	0	0
Sbene_G00073	0	4	0	5	0	0	1	10
Sbene_G00075	40	75	53	292	183	572	7	38
Sbene_G00078	0	11	1	7	0	1	0	28
Sbene_G00079	0	0	0	0	0	24	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	41	115	38	29	68	67	0	10
Sbene_G00085	201	135	40	52	32	19	1	26
Sbene_G00086	0	1	1	1	3	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	1	0	2	0	0	0	5
Sbene_G00092	0	0	0	1	0	1	0	0
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	2	0
Sbene_G00098	0	3	0	0	0	1	0	0
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	2	7	1	15	18	36	0	5
Sbene_G00106	0	3	0	0	2	2	2	3
Sbene_G00107	0	0	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	4	0	0	0
Sbene_G00111	0	0	0	1	0	1	0	0
Sbene_G00112	13	69	28	212	77	149	4	98
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	0	0	1	2	0	0	0	7
Sbene_G00121	0	0	2	0	2	0	4	0
Sbene_G00122	0	0	0	0	1	0	1	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	2	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	5	0	4	6	7	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	1	5	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	54	2	142	8	51	2	4	3
Sbene_G00137	0	0	0	0	0	0	0	0
Sbene_G00138	6	2	4	1	21	1	1	0
Sbene_G00139	0	0	0	0	0	0	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	15	19	16	9	20	9	0	0
Sbene_G00143	1	0	0	4	0	0	1	4
Sbene_G00144	1	3	2	1	1	0	3	3
Sbene_G00145	0	2	0	7	0	2	0	1
Sbene_G00146	17	48	102	78	16	17	21	63
Sbene_G00147	13	35	10	51	13	24	0	0
Sbene_G00148	226	45	169	638	980	777	61	140
Sbene_G00149	106	217	212	457	295	286	98	153
Sbene_G00152	8	59	8	67	26	111	3	80
Sbene_G00153	17	76	51	37	0	29	59	89
Sbene_G00154	38	3	9	21	95	27	0	3
Sbene_G00155	94	299	246	327	127	255	124	546
Sbene_G00157	0	1	0	41	3	9	0	2
Sbene_G00158	0	0	0	0	212	93	5	6
Sbene_G00159	0	9	1	7	0	141	0	0
Sbene_G00161	4	13	1	5	0	0	4	19
Sbene_G00162	0	0	0	0	3	7	0	2
Sbene_G00163	0	2	0	0	0	0	0	0
Sbene_G00164	0	0	2	0	79	11	2	0
Sbene_G00165	0	1	0	3	0	0	1	5
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	49	42	48	112	0	5	16	28
Sbene_G00168	0	0	0	0	64	38	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	3	15	6	0	22	13	1	8
Sbene_G00173	702	5665	1379	3149	7369	3536	14	2234
Sbene_G00174	0	1	0	2	1	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	0	0
