GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	161	4	235	131	60	88	7	36
Sbene_G00008	0	0	5	4	0	0	8	7
Sbene_G00009	11	7	3	11	40	7	28	85
Sbene_G00010	31	60	7	35	78	178	0	15
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	0	0	0	0	0	0	0
Sbene_G00020	0	0	0	0	0	32	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	6	8	0	0	16	0	12
Sbene_G00029	0	26	1	9	0	28	0	22
Sbene_G00030	0	4	0	1	4	27	0	10
Sbene_G00031	0	20	11	56	0	5	0	2
Sbene_G00032	0	11	0	8	0	15	0	6
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	167	37	12	84	10	18	23	77
Sbene_G00037	5	2	2	23	0	24	0	10
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	8	0	0	0	0	0	0
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	18	24	0	0	10	8	0	6
Sbene_G00044	0	0	0	0	10	10	4	2
Sbene_G00045	0	0	0	0	14	7	7	6
Sbene_G00046	6	0	0	10	0	0	12	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	6	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	33	0	44	0	86	0	63
Sbene_G00053	0	8	7	12	0	13	0	4
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	5	6	0	10	10	15	0	0
Sbene_G00060	0	0	0	0	0	0	0	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	7	0	0	14	38	8	15	0
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	0	0	0
Sbene_G00068	0	0	11	0	11	0	6	0
Sbene_G00069	6	0	0	0	0	0	0	0
Sbene_G00070	4	0	6	0	0	6	0	0
Sbene_G00073	24	0	1	19	2	19	55	108
Sbene_G00075	94	53	114	457	275	811	2	42
Sbene_G00078	0	6	0	0	0	0	0	18
Sbene_G00079	0	0	0	0	0	18	0	0
Sbene_G00080	0	0	0	0	0	0	0	0
Sbene_G00081	0	0	0	0	0	0	0	0
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	104	290	172	105	266	236	13	52
Sbene_G00085	304	233	278	71	33	84	12	141
Sbene_G00086	0	0	0	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	0	0	0	6	0	0	12	0
Sbene_G00092	0	0	0	0	0	0	0	4
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	0	0	0	0	0	0	0
Sbene_G00101	0	0	0	0	0	0	4	0
Sbene_G00104	0	14	0	0	9	2	4	1
Sbene_G00106	0	0	0	0	0	0	0	0
Sbene_G00107	1	0	0	1	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	5	0	1	0
Sbene_G00111	0	0	0	0	0	0	0	0
Sbene_G00112	30	144	75	732	267	475	2	355
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	6	40	9	111	0	0	9	39
Sbene_G00121	0	0	0	0	28	4	10	4
Sbene_G00122	0	0	0	0	2	0	0	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	20	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	28	0	35	8	3	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	8	20	10	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	123	18	31	26	21	4	8	25
Sbene_G00137	0	18	0	0	0	0	0	0
Sbene_G00138	10	31	93	16	71	11	4	18
Sbene_G00139	0	0	0	0	0	34	0	0
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	12	1	58	7	34	16	0	0
Sbene_G00143	0	0	0	0	0	0	0	0
Sbene_G00144	25	24	24	9	0	0	18	10
Sbene_G00145	0	22	14	12	0	28	0	14
Sbene_G00146	36	32	234	164	31	15	28	54
Sbene_G00147	5	33	15	84	3	24	0	0
Sbene_G00148	342	192	254	776	1252	975	97	114
Sbene_G00149	200	86	318	506	309	253	149	163
Sbene_G00152	22	70	21	55	58	144	2	76
Sbene_G00153	11	75	59	64	7	10	34	92
Sbene_G00154	42	17	4	24	121	74	0	6
Sbene_G00155	177	202	1120	554	326	351	255	679
Sbene_G00157	0	1	0	46	0	33	0	6
Sbene_G00158	0	0	0	0	434	98	11	11
Sbene_G00159	0	7	0	7	4	142	0	0
Sbene_G00161	0	38	8	56	0	0	0	16
Sbene_G00162	0	0	0	0	10	8	0	0
Sbene_G00163	0	4	0	0	0	0	0	0
Sbene_G00164	0	0	0	0	30	38	0	4
Sbene_G00165	14	0	22	37	0	0	9	44
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	35	41	81	119	5	9	24	138
Sbene_G00168	0	0	0	0	213	58	0	5
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	0	0	0
Sbene_G00171	3	9	82	26	15	44	13	0
Sbene_G00173	2091	11017	4192	8120	13112	11745	797	3338
Sbene_G00174	9	1	0	2	3	1	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	2	0	0	6	0	0	0	0
