GENE	P1	P1+N	P2	P2+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
Sbene_G00001	0	0	0	0	0	0	0	0
Sbene_G00004	0	0	0	0	0	0	0	0
Sbene_G00007	5407	230	1753	1080	1715	1419	336	380
Sbene_G00008	9	2	3	6	0	0	2	8
Sbene_G00009	89	47	9	45	16	14	9	309
Sbene_G00010	85	84	18	66	259	118	10	40
Sbene_G00017	0	0	0	0	0	0	0	0
Sbene_G00019	0	5	0	0	1	3	0	5
Sbene_G00020	0	0	0	0	0	0	0	0
Sbene_G00025	0	0	0	0	0	0	0	0
Sbene_G00026	0	0	0	0	0	0	0	0
Sbene_G00028	0	10	8	1	0	7	0	6
Sbene_G00029	0	1	0	0	0	3	0	0
Sbene_G00030	0	1	0	0	1	18	0	4
Sbene_G00031	7	9	9	22	1	7	3	6
Sbene_G00032	0	0	0	1	0	0	0	1
Sbene_G00033	0	0	0	0	0	0	0	0
Sbene_G00036	36	12	7	48	4	20	12	31
Sbene_G00037	0	1	0	1	0	7	0	3
Sbene_G00038	0	0	0	0	0	0	0	0
Sbene_G00040	0	44	0	27	0	6	0	33
Sbene_G00042	0	0	0	0	0	0	0	0
Sbene_G00043	7	21	54	5	58	21	3	9
Sbene_G00044	0	2	2	0	23	7	13	1
Sbene_G00045	0	0	0	0	26	3	5	0
Sbene_G00046	13	0	6	2	0	0	27	0
Sbene_G00047	0	0	0	0	0	0	0	0
Sbene_G00048	0	0	0	0	0	0	0	0
Sbene_G00049	0	0	0	0	0	0	0	0
Sbene_G00050	0	0	0	0	0	0	0	0
Sbene_G00052	0	67	0	67	0	156	0	32
Sbene_G00053	0	4	4	1	7	3	0	1
Sbene_G00054	0	0	0	0	0	0	0	0
Sbene_G00055	0	0	0	0	0	0	0	0
Sbene_G00057	7	2	1	3	5	10	0	0
Sbene_G00060	0	0	0	0	0	0	2	0
Sbene_G00061	0	0	0	0	0	0	0	0
Sbene_G00062	0	0	0	0	0	0	0	0
Sbene_G00063	0	0	0	0	12	1	0	1
Sbene_G00064	0	0	0	0	0	0	0	0
Sbene_G00065	0	0	0	0	0	0	0	0
Sbene_G00066	0	0	0	0	0	2	0	0
Sbene_G00068	0	2	4	0	0	0	0	2
Sbene_G00069	0	0	0	0	0	0	0	0
Sbene_G00070	0	0	3	0	0	0	3	0
Sbene_G00073	556	59	177	238	44	101	131	404
Sbene_G00075	156	166	51	323	336	946	5	61
Sbene_G00078	0	6	0	3	0	0	0	13
Sbene_G00079	0	0	0	0	1	13	0	0
Sbene_G00080	0	0	0	0	0	0	2	0
Sbene_G00081	1	0	0	0	0	0	0	3
Sbene_G00082	0	0	0	0	0	0	0	0
Sbene_G00083	92	170	41	48	124	113	2	20
Sbene_G00085	282	185	35	87	20	48	2	45
Sbene_G00086	4	0	2	0	0	0	0	0
Sbene_G00087	0	0	0	0	0	0	0	0
Sbene_G00089	0	0	0	0	0	0	0	0
Sbene_G00091	8	17	5	40	0	0	0	54
Sbene_G00092	0	1	8	4	3	10	0	6
Sbene_G00093	0	0	0	0	0	0	0	0
Sbene_G00094	0	0	0	0	0	0	0	0
Sbene_G00095	0	0	0	0	0	0	0	0
Sbene_G00096	0	0	0	0	0	0	0	0
Sbene_G00097	0	0	0	0	0	0	0	0
Sbene_G00098	0	9	0	0	0	3	1	9
Sbene_G00101	0	0	0	0	0	0	0	0
Sbene_G00104	0	8	3	7	22	42	0	2
Sbene_G00106	3	0	1	1	4	2	5	0
Sbene_G00107	1	1	0	0	0	0	0	0
Sbene_G00108	0	0	0	0	0	0	0	0
Sbene_G00109	0	0	0	0	0	0	0	0
Sbene_G00110	0	0	0	0	6	0	0	0
Sbene_G00111	0	3	0	3	0	4	2	0
Sbene_G00112	86	117	32	214	161	189	16	109
Sbene_G00114	0	0	0	0	0	0	0	0
Sbene_G00115	0	0	0	0	0	0	0	0
Sbene_G00116	0	0	0	0	0	0	0	0
Sbene_G00117	0	0	0	0	0	0	0	0
Sbene_G00118	0	0	0	0	0	0	0	0
Sbene_G00120	39	74	49	78	3	4	25	258
Sbene_G00121	1	0	1	0	18	1	9	0
Sbene_G00122	0	0	0	0	15	2	1	0
Sbene_G00123	0	0	0	0	0	0	0	0
Sbene_G00124	0	0	0	0	0	0	0	0
Sbene_G00125	0	0	0	0	0	0	2	0
Sbene_G00126	0	0	0	0	0	0	0	0
Sbene_G00127	0	0	0	0	0	0	0	0
Sbene_G00128	0	0	0	4	0	2	0	0
Sbene_G00132	0	0	0	0	0	0	0	0
Sbene_G00133	0	0	0	0	1	11	0	0
Sbene_G00134	0	0	0	0	0	0	0	0
Sbene_G00136	56	83	145	23	54	21	1	3
Sbene_G00137	0	0	2	2	0	0	0	0
Sbene_G00138	39	37	55	1	66	28	10	10
Sbene_G00139	0	0	0	0	1	4	0	1
Sbene_G00140	0	0	0	0	0	0	0	0
Sbene_G00141	0	0	0	0	0	0	0	0
Sbene_G00142	20	23	20	3	17	15	0	0
Sbene_G00143	6	1	0	0	0	0	10	1
Sbene_G00144	22	7	7	22	0	9	20	23
Sbene_G00145	0	0	0	0	0	0	0	0
Sbene_G00146	75	139	149	109	29	33	39	93
Sbene_G00147	16	27	0	38	13	28	0	2
Sbene_G00148	372	75	238	512	1332	577	109	129
Sbene_G00149	161	220	138	367	190	279	59	162
Sbene_G00152	24	51	2	78	31	95	0	31
Sbene_G00153	8	72	7	8	0	14	16	53
Sbene_G00154	19	6	6	12	19	28	0	0
Sbene_G00155	394	561	325	372	225	435	127	789
Sbene_G00157	4	7	0	28	2	6	0	5
Sbene_G00158	0	0	0	0	631	175	9	11
Sbene_G00159	0	9	0	14	0	132	1	8
Sbene_G00161	16	61	16	22	0	1	3	95
Sbene_G00162	0	0	1	0	0	0	1	2
Sbene_G00163	0	2	0	0	0	0	0	0
Sbene_G00164	2	0	0	0	142	10	4	0
Sbene_G00165	146	10	47	18	8	1	30	116
Sbene_G00166	0	0	0	0	0	0	0	0
Sbene_G00167	43	92	0	33	3	4	5	12
Sbene_G00168	0	0	0	0	71	33	0	0
Sbene_G00169	0	0	0	0	0	0	0	0
Sbene_G00170	0	0	0	0	0	2	0	0
Sbene_G00171	0	0	0	0	4	12	0	0
Sbene_G00173	7489	30433	1742	14994	30853	19374	1045	8868
Sbene_G00174	4	0	0	8	4	0	0	0
Sbene_G00177	0	0	0	0	0	0	0	0
Sbene_G00178	0	0	0	0	0	0	2	0
